factor,smi_leiden,smi_leiden_value,smi_celltypist_01_4,smi_celltypist_01_4_value,any_smi,enrichr_term,enrichr_padj,gprofiler_term,gprofiler_p,decoupler_tf,decoupler_padj,n_tools,top_genes,max_score,has_program
DR 28-,,,,,False,Regulation Of Intracellular Transport (GO:0032386),0.01427478634128327,,,,,1,"CRYAB, TUBA1A",0.1862644,True
DR 30+,,,,,False,,,,,POU2F2,1.4557611058536115e-05,1,MUCL1,0.1058246,True
DR 1+,,,,,False,,,,,,,0,,0.024549384,False
DR 5+,,,,,False,,,,,,,0,"HIST1H1C, HIST1H2BC, HIST1H4H, HIST1H2AC, HIST2H2AA4, HIST3H2A, HIST1H2AE, HIST1H2BK",1.1910433,True
DR 8-,,,,,False,,,,,,,0,,0.027027871,False
DR 13+,,,,,False,,,,,,,0,"MALAT1, NEAT1, XIST, Z93241.1, AL162632.3, AC007952.4, N4BP2L2, Z97832.2",16.34639,True
DR 13-,,,,,False,,,,,,,0,,0.036007714,False
DR 14-,,,,,False,,,,,,,0,"SELENOP, TMSB15A, AL138963.3, PIP, NDRG2, CALML5, CXCL17, FAM3D",0.27079841,True
DR 18+,,,,,False,,,,,,,0,,0.044781413,False
DR 19-,,,,,False,,,,,,,0,"FABP7, S100B, S100A1, PYCARD, RARRES3, NME1, GLIPR2, FABP5",2.2212963,True
DR 27+,,,,,False,,,,,,,0,,0.06383869,False
DR 29-,,,,,False,,,,,,,0,,0.017833883,False
DR 31+,,,,,False,,,,,,,0,,0.0035671678,False
DR 1-,4,0.664,,,True,Extracellular Matrix Organization (GO:0030198),1.1630381078931634e-07,collagen fibril organization,0.002392784163862338,,,2,"COL1A2, DCN, SPARC, COL1A1, SFRP2, SPARCL1, AEBP1, LUM",17.588509,True
DR 18-,,,Lumsec-HLA,0.414,True,Skin Epidermis Development (GO:0098773),0.0005204014369740088,,,,,1,"TACSTD2, TM4SF1, CLDN4, TNFRSF11B, KRT23, CLDN3, ANXA1, PLAUR",3.734912,True
DR 3-,,,Lumsec-KIT,0.488,True,,,,,,,0,"IQCN, KCNQ1OT1, AC020916.1, NABP1, INTS6, ZBTB20, VMP1, AC016831.1",8.962814,True
DR 6+,14,0.585,,,True,,,,,,,0,"C4orf48, CTSD, MT-ND3, MT-ND2, MT-ND1, MUC1, BRI3, MT-ND4",1.598029,True
