# factor_first_significant | collection scie (stemness x immunogenicity (SCIE)) | DRVI run drvi_epi_64 | 04_3 - 04_7 signature interpretation
# CAVEAT: Cell type labels come from CellTypist (Cells_Adult_Breast.pkl, Kumar et al.
# CAVEAT: 2023), a NORMAL adult breast atlas with no malignant class: TNBC cells are assigned to the nearest normal state.
# CAVEAT: This subset therefore mixes normal and malignant epithelium and no CNV inference has been run.
# CAVEAT: Every state reported here is an EPITHELIAL state, not a tumour cell state.
dimension,collection,Gene_set,Term,Overlap,P-value,Adjusted P-value,Odds Ratio,Combined Score,direction,dim,fdr_bh_global,significant
DR 2+,lab,gs_ind_0,FMASC,73/300,1.0053925787234587e-15,4.021570314893835e-15,3.987149321266968,137.68981560914838,+,DR 2,1.795677908045619e-13,True
DR 2+,lab,gs_ind_0,LIM_STEM,56/160,8.675906168949854e-20,6.940724935159883e-19,6.347726031025976,278.6090086025518,+,DR 2,2.1493857863720924e-17,True
DR 2+,hallmark,gs_ind_0,Adipogenesis,9/27,0.0007892992037056952,0.005840814107422145,4.779832051372521,34.14886524442345,+,DR 2,0.013440837881285453,True
DR 2+,hallmark,gs_ind_0,Angiogenesis,7/17,0.0007324907256175764,0.005840814107422145,6.609449981543005,47.714015180221494,+,DR 2,0.01250117505053997,True
DR 2+,hallmark,gs_ind_0,Coagulation,21/52,4.323313773031215e-09,5.332086986738498e-08,6.728434363531856,129.5845568014155,+,DR 2,4.202917693275915e-07,True
DR 2+,hallmark,gs_ind_0,Epithelial Mesenchymal Transition,63/114,9.100606838084655e-37,3.367224530091322e-35,15.68836716681377,1301.9353477975235,+,DR 2,6.353878228771832e-34,True
DR 2+,hallmark,gs_ind_0,Myogenesis,21/47,4.4546506073818475e-10,8.241103623656417e-09,8.02054974509907,172.69769349709023,+,DR 2,4.887388094956084e-08,True
DR 2+,hallmark,gs_ind_0,UV Response Dn,9/32,0.00302646296265898,0.018663188269730374,3.7522915393589247,21.76464430625097,+,DR 2,0.03689402468765233,True
DR 2-,hallmark,gs_ind_0,Androgen Response,9/25,0.00041133852103927056,0.003702046689353435,5.36521876730754,41.827750003165356,-,DR 2,0.008484960568574128,True
DR 2-,hallmark,gs_ind_0,DNA Repair,5/11,0.002659499577535494,0.017096782998442462,7.766869958685816,46.054566494324,-,DR 2,0.03294347863785902,True
DR 2-,hallmark,gs_ind_0,Estrogen Response Early,17/49,1.8550635918236002e-06,4.1738930816031e-05,5.189478096835045,68.48861244153905,-,DR 2,9.825440265658793e-05,True
DR 2-,hallmark,gs_ind_0,Estrogen Response Late,19/64,6.4801517483309875e-06,9.720227622496481e-05,4.14521841794569,49.521957069251535,-,DR 2,0.0003016216086495878,True
DR 2-,hallmark,gs_ind_0,Glycolysis,13/40,7.132734685467942e-05,0.0008024326521151434,4.643345454545455,44.33573388785754,-,DR 2,0.002165193770134142,True
DR 2-,hallmark,gs_ind_0,Myc Targets V1,5/12,0.004192769000148052,0.023584325625832795,6.727536231884058,36.82918333740776,-,DR 2,0.04791736000169203,True
DR 2-,hallmark,gs_ind_0,Reactive Oxygen Species Pathway,5/10,0.0015777264868780162,0.011832948651585122,9.184143222506394,59.25398339743649,-,DR 2,0.022634359425815237,True
DR 2-,hallmark,gs_ind_0,mTORC1 Signaling,17/48,1.3276367579910216e-06,4.1738930816031e-05,5.357250983953981,72.49490998712832,-,DR 2,7.180457958712004e-05,True
DR 3+,lab,gs_ind_0,ESC_ASSOU,25/128,0.0005458141983383085,0.005458141983383085,2.383046368553615,17.90438008170274,+,DR 3,0.010264518558145341,True
DR 3+,hallmark,gs_ind_0,Estrogen Response Early,15/49,4.320330277245632e-05,0.0016761926510849665,4.278409312863784,42.996274902517925,+,DR 3,0.0014616800233148218,True
DR 3+,hallmark,gs_ind_0,Estrogen Response Late,15/64,0.0011107953964648305,0.013051845908461758,2.9566010509406735,20.11280772356416,+,DR 3,0.018228437275320294,True
DR 3+,hallmark,gs_ind_0,Glycolysis,13/40,7.132734685467942e-05,0.0016761926510849665,4.643345454545455,44.33573388785754,+,DR 3,0.002165193770134142,True
DR 3+,hallmark,gs_ind_0,p53 Pathway,12/41,0.0004154095278364417,0.006508082602770921,3.9821516881715597,31.00601149959369,+,DR 3,0.008484960568574128,True
DR 3-,lab,gs_ind_0,IMMUNOGENIC_CONSENSUS,9/13,4.227634404332841e-07,2.1138172021664203e-06,19.804757760371338,290.6635975715644,-,DR 3,2.5974585780220973e-05,True
DR 3-,lab,gs_ind_0,KEGG_APM,13/25,1.2120950461932075e-07,1.2120950461932074e-06,10.30176,164.063206369783,-,DR 3,8.69989715398489e-06,True
DR 3-,hallmark,gs_ind_0,Allograft Rejection,26/89,1.5635978652050002e-07,2.8144761573690007e-06,4.1552918349389705,65.11801947663723,-,DR 3,1.0916756004340366e-05,True
DR 3-,hallmark,gs_ind_0,Complement,14/66,0.004409050499134496,0.03174516359376837,2.589378271415805,14.04503611479543,-,DR 3,0.049548002973515165,True
DR 3-,hallmark,gs_ind_0,Inflammatory Response,25/82,1.0929188834879965e-07,2.8144761573690007e-06,4.405722779635823,70.62040392912445,-,DR 3,8.229036299203738e-06,True
DR 3-,hallmark,gs_ind_0,KRAS Signaling Up,22/83,9.22032280037151e-06,0.00011064387360445813,3.5652797704447634,41.33621200524255,-,DR 3,0.00040696597187846667,True
DR 3-,hallmark,gs_ind_0,TNF-alpha Signaling via NF-kB,22/93,6.461196396966755e-05,0.000581507675727008,3.049009813715696,29.4141360018817,-,DR 3,0.0021205977918249863,True
DR 4+,lab,gs_ind_0,LIM_STEM,28/160,0.0015889294965575856,0.015889294965575854,2.0804922067268254,13.408137227292794,+,DR 4,0.022634359425815237,True
DR 4+,hallmark,gs_ind_0,p53 Pathway,12/41,0.0004154095278364417,0.018278019224803436,3.9821516881715597,31.00601149959369,+,DR 4,0.008484960568574128,True
DR 4-,hallmark,gs_ind_0,Apoptosis,13/59,0.0042671553818756855,0.03584410520775576,2.7166451612903226,14.824210670745018,-,DR 4,0.04847892504852849,True
DR 4-,hallmark,gs_ind_0,Estrogen Response Early,14/49,0.0001808341096007929,0.0075950326032333025,3.8665936638598346,33.32203534510104,-,DR 4,0.00450911026537042,True
DR 4-,hallmark,gs_ind_0,Estrogen Response Late,14/64,0.0032686442862646012,0.03432076500577831,2.695007034215486,15.42454928240058,-,DR 4,0.03873948783721009,True
DR 4-,hallmark,gs_ind_0,Glycolysis,11/40,0.0012931995232216237,0.018104793325102734,3.644246679486606,24.23655772505855,-,DR 4,0.02005072644813722,True
DR 4-,hallmark,gs_ind_0,Oxidative Phosphorylation,4/5,0.00044837002986319467,0.009415770627127088,27.47328244274809,211.81603246804076,-,DR 4,0.008739801597333337,True
DR 5+,lab,gs_ind_0,HALLMARK_IFNA,11/40,0.0012931995232216237,0.008584188040673632,3.644246679486606,24.23655772505855,+,DR 5,0.02005072644813722,True
DR 5+,lab,gs_ind_0,ISDS,6/15,0.002146047010168408,0.008584188040673632,6.302124205114328,38.72105608064646,+,DR 5,0.02774687043450063,True
DR 5+,hallmark,gs_ind_0,DNA Repair,5/11,0.002659499577535494,0.022871696366805246,7.766869958685816,46.054566494324,+,DR 5,0.03294347863785902,True
DR 5+,hallmark,gs_ind_0,Glycolysis,14/40,1.4139101995007215e-05,0.0006079813857853102,5.206181395113561,58.13517027878158,+,DR 5,0.0005715173859034496,True
DR 5+,hallmark,gs_ind_0,Interferon Alpha Response,11/40,0.0012931995232216237,0.016960559733938674,3.644246679486606,24.23655772505855,+,DR 5,0.02005072644813722,True
DR 5+,hallmark,gs_ind_0,Myc Targets V1,5/12,0.004192769000148052,0.030048177834394375,6.727536231884058,36.82918333740776,+,DR 5,0.04791736000169203,True
DR 5+,hallmark,gs_ind_0,Reactive Oxygen Species Pathway,5/10,0.0015777264868780162,0.016960559733938674,9.184143222506394,59.25398339743649,+,DR 5,0.022634359425815237,True
DR 5+,hallmark,gs_ind_0,mTORC1 Signaling,13/48,0.0005519851776710972,0.01186768131992859,3.5807323943661973,26.862616338197814,+,DR 5,0.010264518558145341,True
DR 5-,lab,gs_ind_0,LIM_STEM,90/160,1.2398750644667246e-55,8.679125451267072e-55,20.103366387471517,2541.6117096807843,-,DR 5,9.522240495104446e-52,True
DR 5-,hallmark,gs_ind_0,Epithelial Mesenchymal Transition,33/114,3.3703641003193207e-09,1.5166638451436943e-07,4.219631901840491,82.3176131905128,-,DR 5,3.3185123449297924e-07,True
DR 5-,hallmark,gs_ind_0,Myogenesis,13/47,0.00044081509382605446,0.006612226407390817,3.6866086956521738,28.486001648149458,-,DR 5,0.008739801597333337,True
DR 5-,hallmark,gs_ind_0,TNF-alpha Signaling via NF-kB,19/93,0.0014977120488090597,0.01684926054910192,2.48982195351933,16.193345442284368,-,DR 5,0.022465680732135895,True
DR 5-,hallmark,gs_ind_0,p53 Pathway,13/41,9.534578445982856e-05,0.0021452801503461425,4.477894736842106,41.456351435534096,-,DR 5,0.0027146936356683654,True
DR 6+,hallmark,gs_ind_0,Estrogen Response Early,14/49,0.0001808341096007929,0.003978350411217444,3.8665936638598346,33.32203534510104,+,DR 6,0.00450911026537042,True
DR 6+,hallmark,gs_ind_0,Estrogen Response Late,15/64,0.0011107953964648305,0.012218749361113135,2.9566010509406735,20.11280772356416,+,DR 6,0.018228437275320294,True
