factor,smi_leiden,smi_leiden_value,smi_celltypist_01_4,smi_celltypist_01_4_value,any_smi,enrichr_term,enrichr_padj,gprofiler_term,gprofiler_p,decoupler_tf,decoupler_padj,n_tools,top_genes,max_score,has_program
DR 18-,,,,,False,Unsaturated Fatty Acid Biosynthetic Process (GO:0006636),0.004499876031820541,,,,,1,SCD,0.123489745,True
DR 19+,,,,,False,Regulation Of Plasminogen Activation (GO:0010755),0.00010898869418285572,,,,,1,"S100A2, FOSL1, LAMB3, KRT75, AREG, SFN, PHLDA2, LGALS7B",2.6915405,True
DR 19-,,,,,False,Type I Interferon-Mediated Signaling Pathway (GO:0060337),2.21201516721981e-05,,,,,1,"RARRES3, PSMB8, PSMB9, UBE2L6, PSMB10, USP30-AS1, PLA2G16, IFI27",1.3130604,True
DR 20+,,,,,False,,,,,ZBTB17,0.048793776322625014,1,"TFF3, TFF1, AGR3, ANKRD30A, SRARP, DNAJC12, CYP4Z1, AFF3",11.543972,True
DR 21-,,,,,False,,,,,KAT5,8.120955719429645e-10,1,,0.020942029,False
DR 22+,,,,,False,T Cell Activation (GO:0042110),1.0278679416160291e-11,,,,,1,"CD3D, CD3E, ICOS, GNLY, CD2, LCK, ZNF683, NKG7",20.50017,True
DR 22-,,,,,False,,,,,KLF6,0.00045093017988641744,1,,0.023817781,False
DR 24+,,,,,False,,,,,KDM5B,0.04206782750537609,1,"CALML3, MLLT11, CALML5, NET1",0.30517483,True
DR 26+,,,,,False,,,,,HOXA9,0.02757254868107621,1,"SPP1, SCRG1, SNORC, SOSTDC1, HPX, CPB1, C2orf40, FABP7",3.069226,True
DR 27+,,,,,False,Regulation Of Cellular Catabolic Process (GO:0031329),0.0026531706088933167,,,,,1,"TRIB3, GDF15, ASNS, PSAT1, DDIT3, LCN2, NUPR1, S100P",6.490262,True
DR 28+,,,,,False,,,,,RUNX2,3.314215114653868e-10,1,"MGP, SERPINA1, TCN1, CLU, RARRES1, SLURP1, SERPINA3, EFEMP1",9.238556,True
DR 30-,,,,,False,Defense Response To Bacterium (GO:0042742),0.0018351996629034333,,,,,1,"S100A7, S100A8, S100A9, LGALS7, S100A12, GPX2, CRABP2, DEFB1",16.68975,True
DR 31-,,,,,False,,,,,VHL,0.0011071481709556956,1,"HIST1H2BC, HIST1H1C, HIST1H4H, HIST1H2BJ, HIST2H2AA4, HIST3H2A, HIST1H2BB, HIST1H2BF",7.633437,True
DR 1+,,,,,False,,,,,,,0,,0.01379605,False
DR 3-,,,,,False,,,,,,,0,,0.018492633,False
DR 4+,,,,,False,,,,,,,0,"IQCN, KCNQ1OT1, AC016831.1, PCDHGA10, FTX, AC020916.1, PHLDB2, PDLIM3",11.347064,True
DR 6+,,,,,False,,,,,,,0,"CLPSL1, PPP1R1B, CRABP1, PART1, MDK, PEG10, TTYH1, ATP6V0E2",1.670359,True
DR 8+,,,,,False,,,,,,,0,,0.018278748,False
DR 9-,,,,,False,,,,,,,0,"MALAT1, NEAT1, XIST, DIO2, N4BP2L2, WSB1, HIST1H4B, Z93241.1",13.156549,True
DR 10-,,,,,False,,,,,,,0,"SLPI, WFDC2, PI3, CXCL17, AGR2, BPIFB1, CAPS, FAM3D",1.0296158,True
DR 12+,,,,,False,,,,,,,0,"UGT2B11, CTGF, METRN, SCD, BRI3, GABRP, UGT2B28, HMGCS2",0.26356873,True
DR 12-,,,,,False,,,,,,,0,"S100A6, MALL, S100A16, S100A4, S100A13, S100A14, SPTSSB, S100A1",3.454496,True
DR 13+,,,,,False,,,,,,,0,"TNC, SLCO2A1, TGFBI, TNFRSF11B, TUBB2B, PDLIM1, TGFB1I1, MLLT11",0.96742,True
DR 14-,,,,,False,,,,,,,0,"NDUFA4L2, CA9, BNIP3, CASP14, ADM, ERO1A, SLC2A1, EGLN3",5.932584,True
DR 16-,,,,,False,,,,,,,0,"NPB, PYDC1, SPIB, CSTA, REM1, RBP5, FABP6, PRRX1",7.187737,True
DR 26-,,,,,False,,,,,,,0,"LGALS7, KLK8, IGFL2-AS1, FABP5, LGALS7B, CAVIN2, RAB11FIP1, DEFB1",0.42337528,True
DR 28-,,,,,False,,,,,,,0,,0.013390543,False
DR 31+,,,,,False,,,,,,,0,,0.037744336,False
DR 32-,,,,,False,,,,,,,0,,0.016271936,False
DR 23+,31,0.837,,,True,Hydrogen Peroxide Catabolic Process (GO:0042744),0.0005303257659474826,,,NR2F2,5.565929985126172e-09,2,"HBB, HBA2, HBA1, ALAS2, HBM, SNCA, TRIM58, TESC",60.504555,True
DR 25-,27,0.772,,,True,B Cell Receptor Signaling Pathway (GO:0050853),1.5534507673938816e-06,adaptive immune response,3.7126903399763837e-16,,,2,"IGLV3-21, IGKV3-20, IGKV3-11, JCHAIN, IGKV2D-29, IGHV1-2, IGKC, IGHV3-30",78.9367,True
DR 11+,24,0.825,,,True,,,,,,,0,"PRR27, SELENBP1, CSN3, LRRC26, CLDN4, CSN1S1, CLDN3, ELF3",0.50737095,True
