dim	var	var_frac	pca_var_ratio	eta2_cohort	eta2_cohort_pca	rho_n_genes_by_counts	rho_n_genes_by_counts_pca	rho_total_counts	rho_total_counts_pca	rho_pct_counts_mt	rho_pct_counts_mt_pca	rho_pct_counts_ribo	rho_pct_counts_ribo_pca	rho_size_factors	rho_size_factors_pca	rho_cnv_score	rho_cnv_score_pca	rho_cnv_corr	rho_cnv_corr_pca
46	1.32435	0.00871	0.00122	0.00252	0.04787	0.00591	0.05767	0.00763	0.06360	-0.01674	-0.01279	0.02595	0.03550	0.00313	0.05627	0.00832	0.00046	0.01879	0.04353
47	1.25967	0.00829	0.00118	0.00256	0.08584	0.04772	-0.01261	0.03994	-0.00514	0.05170	0.00583	-0.00447	0.02644	0.04367	-0.01823	0.04280	0.04013	0.08048	0.05768
48	1.30882	0.00861	0.00117	0.00138	0.02277	-0.00769	0.01055	-0.00897	0.01203	0.00305	0.00246	-0.00166	0.00328	-0.00757	0.00942	-0.03402	-0.03739	-0.04617	-0.03476
49	1.29715	0.00854	0.00115	0.00103	0.03697	-0.01439	-0.02635	-0.01001	-0.02455	-0.01769	-0.02724	-0.00202	-0.02729	-0.01520	-0.02596	0.00013	0.02898	-0.01054	-0.00786
50	1.33182	0.00876	0.00113	0.00337	0.02397	0.01104	-0.03880	0.01688	-0.04281	0.01325	0.00210	-0.04623	-0.02689	0.00835	-0.03890	0.03314	0.01027	0.02487	-0.02725
51	1.30305	0.00857	0.00113	0.00223	0.04542	-0.01119	-0.00030	-0.01362	-0.00314	-0.03322	-0.03646	-0.00224	-0.01027	-0.00745	0.00285	0.00815	-0.00535	-0.00279	-0.00256
52	1.25501	0.00826	0.00112	0.00485	0.09569	-0.01232	-0.00793	-0.01720	-0.00777	-0.00026	0.01416	0.00935	-0.01546	-0.01496	-0.01219	-0.03060	-0.02465	-0.03579	-0.04926
53	1.33920	0.00881	0.00110	0.00098	0.01389	-0.05530	-0.03539	-0.05872	-0.03119	-0.03107	-0.04341	0.02145	0.00120	-0.05127	-0.03354	-0.01171	0.01067	-0.05596	-0.02917
54	1.25695	0.00827	0.00109	0.00137	0.02584	0.01786	0.01942	0.01889	0.02157	-0.01670	-0.00975	0.00314	0.01903	0.02400	0.02625	0.00985	-0.02821	0.01375	0.01301
55	1.25546	0.00826	0.00108	0.00353	0.04947	0.04781	0.01471	0.05596	0.02256	0.00901	0.02235	0.01808	0.03600	0.04758	0.01396	0.03387	0.03174	0.08960	0.06248
56	1.21850	0.00802	0.00107	0.00205	0.03064	-0.01678	-0.00251	-0.02155	-0.00803	-0.01635	-0.03839	-0.01241	-0.02162	-0.01713	-0.00010	0.01469	0.02270	0.00733	0.03205
57	1.24782	0.00821	0.00106	0.00125	0.01371	-0.02097	0.02325	-0.01793	0.02063	-0.01629	0.02062	0.05295	-0.00204	-0.02070	0.02422	-0.01434	0.00461	0.00922	0.03540
58	1.23316	0.00811	0.00105	0.00250	0.03192	0.02389	0.01800	0.01804	0.01195	0.01139	0.01618	-0.02737	-0.02913	0.02297	0.01515	0.02588	0.04795	0.04392	0.04694
59	1.25472	0.00826	0.00104	0.00099	0.02074	-0.01768	-0.00476	-0.01818	-0.00714	-0.02282	-0.02057	-0.00975	-0.00852	-0.01866	-0.00461	-0.01802	0.00472	-0.03020	-0.03006
60	1.20736	0.00794	0.00104	0.00088	0.02142	0.01018	0.01160	0.01304	0.00993	0.05015	0.05327	0.01865	-0.00092	0.00836	0.01232	0.01115	0.01844	0.04197	0.05031
61	1.24911	0.00822	0.00103	0.00037	0.01005	0.00994	0.01054	0.01819	0.01298	0.00179	0.01498	0.06891	0.04374	0.01128	0.01407	-0.03566	-0.01471	-0.00977	0.00974
62	1.20272	0.00791	0.00102	0.00125	0.02859	0.00515	0.00161	0.00221	-0.00028	0.00068	-0.01431	-0.01553	0.02242	0.00404	0.00119	0.00583	-0.03521	0.00272	-0.01625
63	1.22035	0.00803	0.00101	0.00108	0.00920	-0.06030	-0.02998	-0.05728	-0.02743	-0.02780	-0.01295	-0.00506	-0.01676	-0.06197	-0.03109	-0.01227	0.00049	-0.03302	-0.02478
