sub_id,cohort,subcluster,n,median_nullpos,frac_cell_rule,too_small,call
Patient43|epi_s4,Patient43,epi_s4,48,0.30925,0.0,False,normal
Patient43|epi_s25,Patient43,epi_s25,123,0.3335,0.0,False,normal
Patient43|epi_s6,Patient43,epi_s6,94,0.35624999999999996,0.0,False,normal
Patient43|epi_s29,Patient43,epi_s29,80,0.433,0.0,False,normal
Patient43|epi_s2,Patient43,epi_s2,97,0.493,0.020618556701030927,False,normal
Patient43|epi_s19,Patient43,epi_s19,27,0.5595,0.07407407407407407,False,normal
Patient43|epi_s26,Patient43,epi_s26,47,0.7115,0.0851063829787234,False,normal
Patient43|epi_s21,Patient43,epi_s21,301,0.718,0.17275747508305647,False,normal
Patient43|epi_s35,Patient43,epi_s35,1,0.796,0.0,True,undecided
Patient43|epi_s42,Patient43,epi_s42,3,0.841,0.0,True,undecided
Patient43|epi_s17,Patient43,epi_s17,259,0.8745,0.2084942084942085,False,borderline
Patient43|epi_s44,Patient43,epi_s44,1,0.911,0.0,True,undecided
Patient43|epi_s18,Patient43,epi_s18,302,0.9157500000000001,0.22185430463576158,False,malignant
Patient43|epi_s32,Patient43,epi_s32,1,0.9325,0.0,True,undecided
Patient43|epi_s34,Patient43,epi_s34,3,0.9355,0.3333333333333333,True,undecided
Patient43|epi_s13,Patient43,epi_s13,87,0.945,0.4367816091954023,False,malignant
Patient43|epi_s45,Patient43,epi_s45,1,0.9515,1.0,True,undecided
Patient43|epi_s14,Patient43,epi_s14,14,0.9595,0.7142857142857143,True,undecided
Patient43|epi_s7,Patient43,epi_s7,72,0.96075,0.6666666666666666,False,malignant
Patient43|epi_s24,Patient43,epi_s24,17,0.9635,0.5294117647058824,True,undecided
Patient43|epi_s12,Patient43,epi_s12,400,0.968,0.7925,False,malignant
Patient43|epi_s46,Patient43,epi_s46,1,0.968,1.0,True,undecided
Patient43|epi_s3,Patient43,epi_s3,495,0.9725,0.8767676767676768,False,malignant
Patient43|epi_s15,Patient43,epi_s15,4,0.97525,1.0,True,undecided
Patient43|epi_s1,Patient43,epi_s1,164,0.9775,0.9512195121951219,False,malignant
Patient43|epi_s38,Patient43,epi_s38,438,0.9775,0.7511415525114156,False,malignant
Patient43|epi_s36,Patient43,epi_s36,1,0.9805,1.0,True,undecided
Patient43|epi_s31,Patient43,epi_s31,173,0.9865,0.861271676300578,False,malignant
Patient43|epi_s8,Patient43,epi_s8,32,0.98975,0.90625,False,malignant
Patient43|epi_s41,Patient43,epi_s41,15,0.9905,1.0,True,undecided
Patient43|epi_s40,Patient43,epi_s40,1,0.991,1.0,True,undecided
Patient43|epi_s43,Patient43,epi_s43,4,0.991,1.0,True,undecided
Patient43|epi_s39,Patient43,epi_s39,1,0.995,1.0,True,undecided
Patient43|epi_s23,Patient43,epi_s23,534,0.9975,0.9943820224719101,False,malignant
Patient45|epi_s1,Patient45,epi_s1,326,0.23075,0.02147239263803681,False,normal
Patient45|epi_s2,Patient45,epi_s2,308,0.97925,0.7402597402597403,False,malignant
Patient45|epi_s10,Patient45,epi_s10,5,0.985,0.6,True,undecided
Patient45|epi_s15,Patient45,epi_s15,1,0.985,1.0,True,undecided
Patient45|epi_s8,Patient45,epi_s8,464,0.9895,0.8405172413793104,False,malignant
Patient45|epi_s12,Patient45,epi_s12,292,0.99,0.791095890410959,False,malignant
Patient45|epi_s4,Patient45,epi_s4,1,0.9935,1.0,True,undecided
Patient45|epi_s3,Patient45,epi_s3,99,0.9945,0.8383838383838383,False,malignant
Patient45|epi_s14,Patient45,epi_s14,2,0.99675,1.0,True,undecided
Patient45|epi_s11,Patient45,epi_s11,23,0.9975,1.0,False,malignant
Patient45|epi_s6,Patient45,epi_s6,49,0.998,1.0,False,malignant
Patient45|epi_s13,Patient45,epi_s13,127,0.9985,0.968503937007874,False,malignant
Patient45|epi_s7,Patient45,epi_s7,12,0.99875,1.0,True,undecided
Patient45|epi_s5,Patient45,epi_s5,274,0.9995,1.0,False,malignant
Patient45|epi_s9,Patient45,epi_s9,450,0.9995,0.9955555555555555,False,malignant
Patient45|epi_s16,Patient45,epi_s16,1,1.0,1.0,True,undecided
Patient46|epi_s3,Patient46,epi_s3,258,0.26175000000000004,0.0,False,normal
Patient46|epi_s28,Patient46,epi_s28,1,0.6875,0.0,True,undecided
Patient46|epi_s14,Patient46,epi_s14,127,0.848,0.1968503937007874,False,borderline
Patient46|epi_s29,Patient46,epi_s29,1,0.8605,0.0,True,undecided
Patient46|epi_s1,Patient46,epi_s1,341,0.899,0.2785923753665689,False,borderline
Patient46|epi_s22,Patient46,epi_s22,134,0.926,0.44776119402985076,False,malignant
Patient46|epi_s19,Patient46,epi_s19,96,0.9337500000000001,0.3958333333333333,False,malignant
Patient46|epi_s5,Patient46,epi_s5,236,0.9355,0.461864406779661,False,malignant
Patient46|epi_s11,Patient46,epi_s11,69,0.941,0.43478260869565216,False,malignant
Patient46|epi_s6,Patient46,epi_s6,278,0.94375,0.4784172661870504,False,malignant
Patient46|epi_s8,Patient46,epi_s8,131,0.9485,0.4732824427480916,False,malignant
Patient46|epi_s13,Patient46,epi_s13,135,0.9555,0.5185185185185185,False,malignant
Patient46|epi_s9,Patient46,epi_s9,260,0.9565,0.5461538461538461,False,malignant
Patient46|epi_s21,Patient46,epi_s21,3,0.9575,0.6666666666666666,True,undecided
Patient46|epi_s17,Patient46,epi_s17,129,0.9605,0.5503875968992248,False,malignant
Patient46|epi_s23,Patient46,epi_s23,6,0.9665,0.6666666666666666,True,undecided
Patient46|epi_s20,Patient46,epi_s20,51,0.9685,0.6470588235294118,False,malignant
Patient46|epi_s10,Patient46,epi_s10,126,0.96975,0.6507936507936508,False,malignant
Patient46|epi_s16,Patient46,epi_s16,1,0.9725,1.0,True,undecided
Patient46|epi_s18,Patient46,epi_s18,92,0.9775,0.7065217391304348,False,malignant
Patient46|epi_s2,Patient46,epi_s2,90,0.97925,0.7444444444444445,False,malignant
Patient46|epi_s4,Patient46,epi_s4,85,0.981,0.7176470588235294,False,malignant
Patient46|epi_s7,Patient46,epi_s7,150,0.98275,0.7266666666666667,False,malignant
Patient46|epi_s15,Patient46,epi_s15,5,0.9835,0.8,True,undecided
Patient46|epi_s24,Patient46,epi_s24,1,0.985,1.0,True,undecided
Patient46|epi_s12,Patient46,epi_s12,139,0.9885,0.8129496402877698,False,malignant
Patient46|epi_s25,Patient46,epi_s25,2,0.99075,1.0,True,undecided
Patient46|epi_s27,Patient46,epi_s27,1,0.9915,1.0,True,undecided
Patient46|epi_s30,Patient46,epi_s30,1,0.9975,1.0,True,undecided
Patient46|epi_s26,Patient46,epi_s26,1,0.998,1.0,True,undecided
Patient47|epi_s1,Patient47,epi_s1,363,0.1655,0.0,False,normal
Patient47|epi_s5,Patient47,epi_s5,140,0.2995,0.0,False,normal
Patient47|epi_s10,Patient47,epi_s10,250,0.34025000000000005,0.0,False,normal
Patient47|epi_s7,Patient47,epi_s7,241,0.3525,0.0,False,normal
Patient47|epi_s27,Patient47,epi_s27,3,0.5885,0.0,True,undecided
Patient47|epi_s9,Patient47,epi_s9,174,0.65875,0.06896551724137931,False,normal
Patient47|epi_s18,Patient47,epi_s18,45,0.8175,0.1111111111111111,False,borderline
Patient47|epi_s30,Patient47,epi_s30,1,0.912,0.0,True,undecided
Patient47|epi_s35,Patient47,epi_s35,1,0.9275,0.0,True,undecided
Patient47|epi_s26,Patient47,epi_s26,8,0.931,0.375,True,undecided
Patient47|epi_s17,Patient47,epi_s17,363,0.942,0.4325068870523416,False,malignant
Patient47|epi_s22,Patient47,epi_s22,34,0.94875,0.47058823529411764,False,malignant
Patient47|epi_s24,Patient47,epi_s24,3,0.9495,0.3333333333333333,True,undecided
Patient47|epi_s33,Patient47,epi_s33,1,0.9525,1.0,True,undecided
Patient47|epi_s11,Patient47,epi_s11,421,0.9545,0.5391923990498813,False,malignant
Patient47|epi_s31,Patient47,epi_s31,2,0.95475,0.5,True,undecided
Patient47|epi_s14,Patient47,epi_s14,8,0.9615,0.625,True,undecided
Patient47|epi_s28,Patient47,epi_s28,1,0.964,1.0,True,undecided
Patient47|epi_s34,Patient47,epi_s34,1,0.969,1.0,True,undecided
Patient47|epi_s16,Patient47,epi_s16,181,0.9705,0.8121546961325967,False,malignant
Patient47|epi_s21,Patient47,epi_s21,115,0.972,0.7391304347826086,False,malignant
Patient47|epi_s20,Patient47,epi_s20,111,0.976,0.7567567567567568,False,malignant
Patient47|epi_s29,Patient47,epi_s29,4,0.9775,1.0,True,undecided
Patient47|epi_s3,Patient47,epi_s3,168,0.98,0.7142857142857143,False,malignant
Patient47|epi_s8,Patient47,epi_s8,211,0.98,0.7962085308056872,False,malignant
Patient47|epi_s23,Patient47,epi_s23,7,0.9805,0.8571428571428571,True,undecided
Patient47|epi_s13,Patient47,epi_s13,123,0.9815,0.9186991869918699,False,malignant
Patient47|epi_s19,Patient47,epi_s19,73,0.9815,0.8356164383561644,False,malignant
Patient47|epi_s2,Patient47,epi_s2,57,0.9815,0.8947368421052632,False,malignant
Patient47|epi_s32,Patient47,epi_s32,12,0.9830000000000001,0.8333333333333334,True,undecided
Patient47|epi_s4,Patient47,epi_s4,76,0.9850000000000001,0.9473684210526315,False,malignant
Patient47|epi_s25,Patient47,epi_s25,3,0.9865,1.0,True,undecided
Patient47|epi_s12,Patient47,epi_s12,61,0.9875,0.9344262295081968,False,malignant
Patient47|epi_s15,Patient47,epi_s15,361,0.9875,0.9113573407202216,False,malignant
Patient47|epi_s6,Patient47,epi_s6,299,0.9895,0.9163879598662207,False,malignant
Patient48|epi_s1,Patient48,epi_s1,381,0.3945,0.010498687664041995,False,normal
Patient48|epi_s2,Patient48,epi_s2,330,0.47775,0.021212121212121213,False,normal
Patient48|epi_s5,Patient48,epi_s5,1,0.7235,0.0,True,undecided
Patient48|epi_s3,Patient48,epi_s3,9,0.927,0.4444444444444444,True,undecided
Patient48|epi_s4,Patient48,epi_s4,471,0.999,0.9936305732484076,False,malignant
Patient52|epi_s141,Patient52,epi_s141,1,0.0375,0.0,True,undecided
Patient52|epi_s91,Patient52,epi_s91,175,0.0575,0.0,False,normal
Patient52|epi_s97,Patient52,epi_s97,76,0.06675,0.0,False,normal
Patient52|epi_s23,Patient52,epi_s23,51,0.0705,0.0,False,normal
Patient52|epi_s28,Patient52,epi_s28,249,0.0705,0.0,False,normal
Patient52|epi_s80,Patient52,epi_s80,151,0.0705,0.0,False,normal
Patient52|epi_s59,Patient52,epi_s59,173,0.0735,0.0,False,normal
Patient52|epi_s79,Patient52,epi_s79,246,0.0785,0.0,False,normal
Patient52|epi_s26,Patient52,epi_s26,211,0.0825,0.009478672985781991,False,normal
Patient52|epi_s4,Patient52,epi_s4,78,0.1095,0.0,False,normal
Patient52|epi_s84,Patient52,epi_s84,105,0.114,0.0,False,normal
Patient52|epi_s112,Patient52,epi_s112,100,0.13625,0.0,False,normal
Patient52|epi_s42,Patient52,epi_s42,31,0.1505,0.0,False,normal
Patient52|epi_s121,Patient52,epi_s121,112,0.15675,0.0,False,normal
Patient52|epi_s116,Patient52,epi_s116,31,0.1745,0.0,False,normal
Patient52|epi_s6,Patient52,epi_s6,204,0.175,0.0,False,normal
Patient52|epi_s136,Patient52,epi_s136,67,0.1965,0.0,False,normal
Patient52|epi_s148,Patient52,epi_s148,322,0.21,0.0,False,normal
Patient52|epi_s99,Patient52,epi_s99,88,0.21125,0.0,False,normal
Patient52|epi_s143,Patient52,epi_s143,15,0.2135,0.0,True,undecided
Patient52|epi_s119,Patient52,epi_s119,30,0.21525,0.0,False,normal
Patient52|epi_s152,Patient52,epi_s152,1,0.217,0.0,True,undecided
Patient52|epi_s106,Patient52,epi_s106,115,0.22,0.0,False,normal
Patient52|epi_s47,Patient52,epi_s47,76,0.2325,0.0,False,normal
Patient52|epi_s81,Patient52,epi_s81,48,0.2425,0.0,False,normal
Patient52|epi_s118,Patient52,epi_s118,20,0.25475000000000003,0.0,False,normal
Patient52|epi_s147,Patient52,epi_s147,6,0.26,0.0,True,undecided
Patient52|epi_s87,Patient52,epi_s87,95,0.2605,0.0,False,normal
Patient52|epi_s10,Patient52,epi_s10,78,0.26225,0.0,False,normal
Patient52|epi_s67,Patient52,epi_s67,73,0.2635,0.0,False,normal
Patient52|epi_s88,Patient52,epi_s88,88,0.2655,0.011363636363636364,False,normal
Patient52|epi_s14,Patient52,epi_s14,121,0.2715,0.0,False,normal
Patient52|epi_s71,Patient52,epi_s71,56,0.27525,0.0,False,normal
Patient52|epi_s61,Patient52,epi_s61,58,0.276,0.0,False,normal
Patient52|epi_s138,Patient52,epi_s138,12,0.29100000000000004,0.0,True,undecided
Patient52|epi_s32,Patient52,epi_s32,36,0.29100000000000004,0.0,False,normal
Patient52|epi_s54,Patient52,epi_s54,24,0.304,0.0,False,normal
