# convergence | collection scie (stemness x immunogenicity (SCIE)) | DRVI run drvi_epi_64 | 04_3 - 04_7 signature interpretation
# CAVEAT: Cell type labels come from CellTypist (Cells_Adult_Breast.pkl, Kumar et al.
# CAVEAT: 2023), a NORMAL adult breast atlas with no malignant class: TNBC cells are assigned to the nearest normal state.
# CAVEAT: This subset therefore mixes normal and malignant epithelium and no CNV inference has been run.
# CAVEAT: Every state reported here is an EPITHELIAL state, not a tumour cell state.
dim_direction,dimension,direction,A_best_signature,A_rho,A_best_any_readout,A_rho_any,A_auroc_target_this_side,A_standardised_mean_difference,B_best_signature,B_neglog10_fdr,B_fdr,A_significant,B_significant,same_signature,same_family,A_family,B_family,verdict,dimension_vanished,confounder_flags
DR 18-,DR 18,-,ISDS,0.0988,ISDS,0.0988,0.36619576972671686,-0.33195534,KEGG_APM,0.447,0.3572728381519289,False,False,False,False,immune,immune,neither,False,none
DR 19+,DR 19,+,KEGG_APM,0.1692,KEGG_APM,0.1692,0.4806621179879312,-0.06433822,KEGG_APM,1.1235,0.07524887301735844,False,False,False,False,immune,immune,neither,False,depth
DR 19-,DR 19,-,ESC_WONG,0.0079,ESC_WONG,0.0079,0.5193378820120689,0.06433822,ESC_ASSOU,3.3802,0.0004166774522219098,False,True,False,False,stemness,stemness,factor_only_candidate_patient_or_technical,False,"depth,cell_cycle"
DR 20+,DR 20,+,LIM_STEM,0.1654,LIM_STEM,0.1654,0.4788959949195701,-0.1802489,HALLMARK_IFNG,0.8058,0.15638676645114105,False,False,False,False,stemness,immune,neither,False,none
DR 20-,DR 20,-,FMASC,0.1221,FMASC,0.1221,0.5211040050804299,0.1802489,FMASC,0.2145,0.6102390566446633,False,False,False,False,stemness,stemness,neither,False,none
DR 21+,DR 21,+,ISDS,0.0971,ISDS,0.0971,0.3731464729601781,-0.30696586,HALLMARK_IFNG,-0.0,1.0,False,False,False,False,immune,immune,neither,False,none
DR 21-,DR 21,-,ESC_ASSOU,0.2905,ESC_ASSOU,0.2905,0.6268535270398219,0.30696586,ESC_ASSOU,1.6979,0.020049336272477257,True,True,True,True,stemness,stemness,convergent,False,"depth,cell_cycle"
DR 22+,DR 22,+,LIM_STEM,0.0617,CytoTRACE2,0.0858,0.5408331775214041,0.13133356,LIM_STEM,2.4606,0.0034625814654379193,False,True,False,False,stemness,stemness,factor_only_candidate_patient_or_technical,False,none
DR 22-,DR 22,-,IMMUNOGENIC_CONSENSUS,-0.0055,IMMUNOGENIC_CONSENSUS,-0.0055,0.45916682247859586,-0.13133356,ESC_WONG,0.2473,0.5658482798597853,False,False,False,False,immune,stemness,neither,False,immune_low_is_absence_of_signal
DR 23+,DR 23,+,FMASC,0.067,FMASC,0.067,0.6217612808866262,0.34850374,ESC_ASSOU,1.4348,0.03674514791999399,False,True,False,False,stemness,stemness,factor_only_candidate_patient_or_technical,False,"depth,cell_cycle"
DR 23-,DR 23,-,HALLMARK_IFNG,0.4142,HALLMARK_IFNG,0.4142,0.3782387191133738,-0.34850374,HALLMARK_IFNG,38.7569,1.7502496521057802e-39,True,True,True,True,immune,immune,convergent,False,none
DR 24+,DR 24,+,ESC_WONG,0.0861,ESC_WONG,0.0861,0.5106402542109375,-0.016772859,ESC_ASSOU,2.9866,0.0010313355783043837,False,True,False,False,stemness,stemness,factor_only_candidate_patient_or_technical,False,"depth,cell_cycle"
DR 24-,DR 24,-,LIM_STEM,0.1199,LIM_STEM,0.1199,0.4893597457890625,0.016772859,LIM_STEM,0.6725,0.21256903452171072,False,False,False,False,stemness,stemness,neither,False,none
DR 25+,DR 25,+,ESC_WONG,0.0707,ESC_WONG,0.0707,0.6187960460286286,0.32328856,ESC_WONG,1.5734,0.026705456121918984,False,True,False,False,stemness,stemness,factor_only_candidate_patient_or_technical,False,"depth,cell_cycle"
DR 25-,DR 25,-,IMMUNOGENIC_CONSENSUS,0.1885,IMMUNOGENIC_CONSENSUS,0.1885,0.3812039539713714,-0.32328856,FMASC,0.447,0.3572728381519289,False,False,False,False,immune,stemness,neither,False,none
DR 26+,DR 26,+,HALLMARK_IFNG,0.0997,HALLMARK_IFNG,0.0997,0.3856075577296926,-0.5707788,HALLMARK_IFNG,0.6262,0.23648304020392247,False,False,False,False,immune,immune,neither,False,none
DR 26-,DR 26,-,BENPORATH_ES1,0.1532,BENPORATH_ES1,0.1532,0.6143924422703074,0.5707788,ESC_ASSOU,11.4253,3.755778746557724e-12,False,True,False,False,stemness,stemness,factor_only_candidate_patient_or_technical,False,"depth,cell_cycle"
DR 27+,DR 27,+,LIM_STEM,0.0268,LIM_STEM,0.0268,0.7322684806332636,0.68819046,ESC_ASSOU,0.9943,0.1013211242412733,False,False,False,False,stemness,stemness,neither,False,none
DR 27-,DR 27,-,IMMUNOGENIC_CONSENSUS,0.6281,IMMUNOGENIC_CONSENSUS,0.6281,0.26773151936673645,-0.68819046,HALLMARK_IFNG,20.6838,2.071094903660329e-21,True,True,False,True,immune,immune,convergent,False,none
DR 28+,DR 28,+,FMASC,0.2142,FMASC,0.2142,0.5341062857689621,0.12302023,KEGG_APM,-0.0,1.0,True,False,False,False,stemness,immune,cell_only_state_not_on_one_axis,False,none
DR 28-,DR 28,-,HALLMARK_IFNA,0.1101,HALLMARK_IFNA,0.1101,0.46589371423103787,-0.12302023,HALLMARK_IFNA,3.243,0.0005714786366718672,False,True,False,False,immune,immune,factor_only_candidate_patient_or_technical,False,none
DR 29+,DR 29,+,LIM_STEM,0.2322,LIM_STEM,0.2322,0.5358447659478314,0.20150325,LIM_STEM,1.6452,0.022636016404497493,True,True,True,True,stemness,stemness,convergent,False,none
DR 29-,DR 29,-,FMASC,0.0902,FMASC,0.0902,0.46415523405216863,-0.20150325,HALLMARK_IFNA,0.447,0.3572728381519289,False,False,False,False,stemness,immune,neither,False,none
DR 30+,DR 30,+,KEGG_APM,0.1153,KEGG_APM,0.1153,0.5464981800892122,0.13451378,ESC_ASSOU,2.2806,0.005240829125640289,False,True,False,False,immune,stemness,factor_only_candidate_patient_or_technical,False,"depth,cell_cycle"
DR 30-,DR 30,-,HALLMARK_IFNA,0.0349,HALLMARK_IFNA,0.0349,0.45350181991078775,-0.13451378,HALLMARK_IFNA,0.0159,0.9640509790107473,False,False,False,False,immune,immune,neither,False,none
DR 31+,DR 31,+,ESC_WONG,0.048,ESC_WONG,0.048,0.4561292346010109,-0.1267023,LIM_STEM,-0.0,1.0,False,False,False,False,stemness,stemness,neither,False,"depth,cell_cycle"
DR 31-,DR 31,-,FMASC,0.1813,FMASC,0.1813,0.5438707653989892,0.1267023,KEGG_APM,3.3836,0.00041342810804713463,False,True,False,False,stemness,immune,factor_only_candidate_patient_or_technical,False,depth
