dim_title_direction,n_active,fraction_active,max_ood_score,cohesion,is_candidate,rarity_score,cohesion_score,interpretability_score,score
DR 49-,132,0.0017732163726978413,0.14739756286144257,0.49346410949729325,False,0.4011504766137153,0.49346410949729325,0.3007530724700757,0.059535082042801314
DR 33+,55,0.0007388401552907672,3.468581438064575,0.17890008777455463,False,0.5085220318019039,0.17890008777455463,0.6537995924565395,0.05947918002218172
DR 10+,509,0.006837629800781828,6.473211288452148,0.3433006296189252,False,0.23562360640176963,0.3433006296189252,0.7235429388342968,0.058527194724507715
DR 8-,222,0.002982227535900915,11.771604537963867,0.2172576706675807,False,0.3373905338698807,0.2172576706675807,0.7903901760972715,0.05793613855398342
DR 43-,521,0.006998831289208904,20.155864715576172,0.20766009284067144,False,0.23276573772147158,0.20766009284067144,0.8505067406132043,0.04111022539223828
DR 13-,682,0.009161617925605513,19.044126510620117,0.24311633453588521,False,0.19974003397394416,0.24311633453588521,0.8441646520379349,0.0409926903059781
DR 23-,589,0.00791230639029567,14.068890571594238,0.23171170374352693,False,0.21772016547190073,0.23171170374352693,0.8103180797885331,0.04087917807739114
DR 15-,1635,0.02196370279818917,76.77412414550781,0.4266762211170536,False,0.09250342614732833,0.4266762211170536,1.0,0.0394690123089225
DR 48-,148,0.0019881516906006098,3.4134750366210938,0.14899299150626844,False,0.38711865935806916,0.14899299150626844,0.6520094303286429,0.03760657848811239
DR 38-,617,0.008288443196625516,0.28516173362731934,0.456288561411571,False,0.21202419967364808,0.456288561411571,0.37452014903856423,0.03623265858950672
DR 24-,942,0.012654316841525503,3.8437063694000244,0.3197690709255895,False,0.1601288031248664,0.3197690709255895,0.6652785734411842,0.034065082812388375
DR 36-,148,0.0019881516906006098,7.032051086425781,0.11715162102603706,False,0.38711865935806916,0.11715162102603706,0.732799115245331,0.03323359658015779
DR 39+,110,0.0014776803105815343,1.845380425453186,0.13322427140190127,False,0.42351123978210375,0.13322427140190127,0.5832588387262682,0.03290861640482582
DR 6+,1293,0.017369460378017492,12.587634086608887,0.33113984738170876,False,0.12128539063267055,0.33113984738170876,0.7978822832164513,0.03204488795192123
DR 22-,1270,0.01706049085853226,6.2673020362854,0.35557515670408557,False,0.12348664122164882,0.35557515670408557,0.7199294558355452,0.03161122539001472
DR 3-,739,0.009927324995634127,19.437915802001953,0.16127210001961909,False,0.18989556109435266,0.16127210001961909,0.8464524633996708,0.025922484736513186
DR 2+,1202,0.016147015757445492,15.354870796203613,0.23074767536657884,False,0.13023578409798736,0.23074767536657884,0.8200952262005292,0.024645177332836166
DR 44-,539,0.007240633521849518,0.38161298632621765,0.2601006234505188,False,0.2286000473517017,0.2601006234505188,0.4070876911029058,0.024205033065246014
DR 4-,1760,0.02364288496930455,4.327406883239746,0.411903762048641,False,0.08346807170290305,0.411903762048641,0.678528169597417,0.02332834994138846
DR 20-,447,0.006004755443908599,0.8682981133460999,0.18187048325600652,False,0.25155384884311427,0.18187048325600652,0.49898626634571064,0.022828731489242915
DR 17+,1125,0.015112639540038419,4.6991987228393555,0.23868839756087262,False,0.13835532590582192,0.23868839756087262,0.6877415801062379,0.022711847981978225
DR 30-,406,0.005453983691782754,52.647674560546875,0.08304510994822266,False,0.26335293056246684,0.08304510994822266,0.9578309868449745,0.020947929457697197
DR 1+,607,0.008154108622936284,0.6738053560256958,0.17302582267904257,False,0.21402824178039787,0.17302582267904257,0.470639211693255,0.017428905478153255
DR 5-,2124,0.028532663451592537,15.226411819458008,0.33787433391792837,False,0.06041243614840018,0.33787433391792837,0.8191561289264828,0.016720460594292497
DR 28-,5,6.71672868446152e-05,0.020654018968343735,0.22516830941452565,False,0.8026110536405997,0.22516830941452565,0.08107777586163649,0.014652584353233987
DR 14+,1018,0.013675259601563655,2.8847501277923584,0.14437109787793923,False,0.15061281438196944,0.14437109787793923,0.6331974644242403,0.01376833264675723
DR 11-,1438,0.01931731169651133,7.72214937210083,0.17066089728071515,False,0.10824971671577006,0.17066089728071515,0.7432634478975548,0.01373104431714886
DR 19+,686,0.009215351755081206,1.2072004079818726,0.12427494495322278,False,0.1990228117657962,0.12427494495322278,0.5358209127082839,0.013252752787172896
