factor,smi_cell_type,smi_cell_type_value,smi_cnv_status,smi_cnv_status_value,smi_leiden,smi_leiden_value,smi_celltypist_01_4,smi_celltypist_01_4_value,any_smi,enrichr_term,enrichr_padj,gprofiler_term,gprofiler_p,decoupler_tf,decoupler_padj,n_tools,top_genes,max_score,has_program
DR 47+,,,,,,,,,False,,,,,AHR,1.3400919772089292e-13,1,CA3,0.17963873,True
DR 48+,,,,,,,,,False,,,,,RUNX2,9.15414648937136e-08,1,"MGP, RARRES1",0.2683266,True
DR 50-,,,,,,,,,False,Positive Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001244),0.0028590692467022737,,,,,1,"DDIT3, HIST3H2A, HIST1H2BH, TRIB3, UPP1, PMAIP1, HIST1H4H, SLCO4A1-AS1",1.4283773,True
DR 53+,,,,,,,,,False,Neutrophil Chemotaxis (GO:0030593),1.912241109747148e-07,,,,,1,"CXCL3, CXCL1, TNFAIP6, CXCL8, PTX3, CCL20, TNFAIP2, CXCL2",2.75513,True
DR 54+,,,,,,,,,False,Inorganic Anion Transmembrane Transport (GO:0098661),0.005999903451972166,,,,,1,GLRA3,0.25057843,True
DR 1+,,,,,,,,,False,,,,,,,0,,0.0003171302,False
DR 3+,,,,,,,,,False,,,,,,,0,"HIST1H1C, HIST1H2BC, HIST1H4H, HIST1H2BJ, HIST1H2BK",0.27032328,True
DR 4-,,,,,,,,,False,,,,,,,0,,0.0038031172,False
DR 5+,,,,,,,,,False,,,,,,,0,,0.0017136284,False
DR 6+,,,,,,,,,False,,,,,,,0,,0.006070454,False
DR 7-,,,,,,,,,False,,,,,,,0,,0.0008369478,False
DR 8+,,,,,,,,,False,,,,,,,0,,0.00077918026,False
DR 10+,,,,,,,,,False,,,,,,,0,,0.00027490826,False
DR 11+,,,,,,,,,False,,,,,,,0,,0.0042118775,False
DR 12+,,,,,,,,,False,,,,,,,0,,0.04196144,False
DR 13-,,,,,,,,,False,,,,,,,0,,0.000121440804,False
DR 14-,,,,,,,,,False,,,,,,,0,,0.0023196654,False
DR 16+,,,,,,,,,False,,,,,,,0,,2.8849763e-05,False
DR 18-,,,,,,,,,False,,,,,,,0,,0.0026617334,False
DR 19+,,,,,,,,,False,,,,,,,0,,0.001007639,False
DR 20+,,,,,,,,,False,,,,,,,0,,0.0010867063,False
DR 21-,,,,,,,,,False,,,,,,,0,,9.066367e-05,False
DR 22+,,,,,,,,,False,,,,,,,0,"PTN, MUC7, ANPEP, STAC2, MGP, CHI3L1, OPRPN, RARRES1",5.151035,True
DR 22-,,,,,,,,,False,,,,,,,0,,0.009958872,False
DR 24+,,,,,,,,,False,,,,,,,0,,0.0015252325,False
DR 25-,,,,,,,,,False,,,,,,,0,,0.00048994063,False
DR 27+,,,,,,,,,False,,,,,,,0,,0.00020960919,False
DR 28+,,,,,,,,,False,,,,,,,0,,3.32277e-05,False
DR 30+,,,,,,,,,False,,,,,,,0,,0.00057780044,False
DR 31+,,,,,,,,,False,,,,,,,0,,0.008293563,False
DR 32-,,,,,,,,,False,,,,,,,0,,0.00021494187,False
DR 33+,,,,,,,,,False,,,,,,,0,,0.08185003,False
DR 33-,,,,,,,,,False,,,,,,,0,,0.002560239,False
DR 34+,,,,,,,,,False,,,,,,,0,,0.00020685862,False
DR 35+,,,,,,,,,False,,,,,,,0,,0.0006062749,False
DR 36-,,,,,,,,,False,,,,,,,0,,2.027585e-05,False
DR 37-,,,,,,,,,False,,,,,,,0,,0.0004226283,False
DR 38+,,,,,,,,,False,,,,,,,0,,0.00062412344,False
DR 39+,,,,,,,,,False,,,,,,,0,,0.000102466016,False
DR 40+,,,,,,,,,False,,,,,,,0,,2.055425e-05,False
DR 41+,,,,,,,,,False,,,,,,,0,,1.0298877e-05,False
DR 41-,,,,,,,,,False,,,,,,,0,"CLDN10, SNCG, SLPI, AC007906.2, TF, LTF, RBP4, TCN1",2.9634051,True
DR 42-,,,,,,,,,False,,,,,,,0,,0.00023720136,False
DR 44-,,,,,,,,,False,,,,,,,0,,1.5315936e-05,False
DR 45+,,,,,,,,,False,,,,,,,0,,0.0014487908,False
DR 46-,,,,,,,,,False,,,,,,,0,,0.00019249842,False
DR 47-,,,,,,,,,False,,,,,,,0,,0.033335026,False
DR 48-,,,,,,,,,False,,,,,,,0,,0.00045952914,False
DR 49+,,,,,,,,,False,,,,,,,0,"SPTSSB, DEFB1, SDC1, FILIP1L, TGFB2, KRT7, GDF15, CEACAM6",7.432373,True
