# signature_gene_contribution | collection emt (epithelial-mesenchymal transition (EMT)) | DRVI run drvi_epi_64 | 04_3 - 04_7 signature interpretation
# CAVEAT: Cell type labels come from CellTypist (Cells_Adult_Breast.pkl, Kumar et al.
# CAVEAT: 2023), a NORMAL adult breast atlas with no malignant class: TNBC cells are assigned to the nearest normal state.
# CAVEAT: This subset therefore mixes normal and malignant epithelium and no CNV inference has been run.
# CAVEAT: Every state reported here is an EPITHELIAL state, not a tumour cell state.
signature,axis,gene,detection_rate,mean_expression,share_of_mean_signal,share_of_score_variance,spearman_with_score,rank_by_variance_share
EMT_B_HYBRID,hybrid,MYOSLID,0.000913,0.000527,0.000178,0.00028,0.03199,20
EMT_B_MESENCHYMAL,mesenchymal,VIM,0.586035,1.284394,0.223503,0.263111,0.661749,1
EMT_B_MESENCHYMAL,mesenchymal,SUMO2,0.781881,1.544733,0.268806,0.112676,0.337356,2
EMT_B_MESENCHYMAL,mesenchymal,FN1,0.207413,0.337602,0.058748,0.097656,0.339988,3
EMT_B_MESENCHYMAL,mesenchymal,SPARC,0.189909,0.279248,0.048593,0.086934,0.396194,4
EMT_B_MESENCHYMAL,mesenchymal,S100A4,0.238404,0.343722,0.059813,0.08612,0.369847,5
EMT_B_MESENCHYMAL,mesenchymal,ITGB1,0.427036,0.486936,0.084734,0.07648,0.288044,6
EMT_B_MESENCHYMAL,mesenchymal,ACTA2,0.132118,0.182277,0.031719,0.052661,0.236904,7
EMT_B_MESENCHYMAL,mesenchymal,CTNNB1,0.25893,0.234079,0.040733,0.031976,0.152362,8
EMT_B_MESENCHYMAL,mesenchymal,MMP14,0.141911,0.107632,0.01873,0.028216,0.203312,9
EMT_B_MESENCHYMAL,mesenchymal,MMP2,0.049932,0.048946,0.008517,0.017616,0.209922,10
EMT_B_MESENCHYMAL,mesenchymal,GSK3B,0.172889,0.122549,0.021325,0.015243,0.096194,11
EMT_B_MESENCHYMAL,mesenchymal,ITGB6,0.126866,0.101523,0.017666,0.014205,0.085175,12
EMT_B_MESENCHYMAL,mesenchymal,ITGAV,0.154418,0.113077,0.019677,0.013255,0.083867,13
EMT_B_MESENCHYMAL,mesenchymal,ZEB2,0.027968,0.026657,0.004639,0.013202,0.182931,14
EMT_B_MESENCHYMAL,mesenchymal,ADAM17,0.109657,0.070462,0.012261,0.011113,0.113709,15
EMT_B_MESENCHYMAL,mesenchymal,PXN,0.110195,0.074292,0.012928,0.010713,0.072325,16
EMT_B_MESENCHYMAL,mesenchymal,CDH11,0.038353,0.025731,0.004478,0.009396,0.181521,17
EMT_B_MESENCHYMAL,mesenchymal,ADAM10,0.208501,0.184092,0.032035,0.00878,0.012546,18
EMT_B_MESENCHYMAL,mesenchymal,SNAI2,0.027713,0.021118,0.003675,0.007758,0.152838,19
EMT_B_MESENCHYMAL,mesenchymal,ZEB1,0.019908,0.013478,0.002345,0.005756,0.156491,20
EMT_B_MESENCHYMAL,mesenchymal,ITGA5,0.028828,0.020493,0.003566,0.005657,0.084211,21
EMT_B_MESENCHYMAL,mesenchymal,LEF1,0.024194,0.016067,0.002796,0.004809,0.139782,22
