factor,source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
DR 10+,GO:BP,GO:0009145,purine nucleoside triphosphate biosynthetic process,0.030916777124405565,True,"""The chemical reactions and pathways resulting in the formation of purine nucleoside triphosphate, a compound consisting of a purine base linked to a ribose or deoxyribose sugar esterified with triphosphate on the sugar."" [GOC:go_curators, ISBN:0198506732]",12,11,7,1889,0.6363636363636364,0.5833333333333334,query_1,"['GO:0009142', 'GO:0009144']"
DR 10+,GO:BP,GO:0009201,ribonucleoside triphosphate biosynthetic process,0.04179540300565736,True,"""The chemical reactions and pathways resulting in the formation of a ribonucleoside triphosphate, a compound consisting of a nucleobase linked to a ribose sugar esterified with triphosphate on the sugar."" [GOC:go_curators, ISBN:0198506732]",12,11,7,1889,0.6363636363636364,0.5833333333333334,query_1,['GO:0009142']
DR 27-,GO:BP,GO:0002396,MHC protein complex assembly,6.842821085224148e-09,True,"""The aggregation, arrangement and bonding together of a set of components to form an MHC protein complex."" [GOC:add, ISBN:0781735149, PMID:15771591, PMID:15928678]",11,16,8,1889,0.5,0.7272727272727273,query_1,['GO:0065003']
DR 27-,GO:BP,GO:0002501,peptide antigen assembly with MHC protein complex,6.842821085224148e-09,True,"""The binding of a peptide to the antigen binding groove of an MHC protein complex."" [GOC:add, ISBN:0781735149, PMID:15771591]",11,16,8,1889,0.5,0.7272727272727273,query_1,"['GO:0002396', 'GO:0048002', 'GO:0065003']"
DR 27-,GO:BP,GO:0002503,peptide antigen assembly with MHC class II protein complex,8.59721968156704e-09,True,"""The binding of a peptide to the antigen binding groove of an MHC class II protein complex."" [GOC:add, ISBN:0781735149, PMID:15771591]",10,13,7,1889,0.5384615384615384,0.7,query_1,"['GO:0002399', 'GO:0002495', 'GO:0002501']"
DR 27-,GO:BP,GO:0002399,MHC class II protein complex assembly,8.59721968156704e-09,True,"""The aggregation, arrangement and bonding together of a set of components to form an MHC class II protein complex."" [GOC:add, ISBN:0781735149, PMID:15771591]",10,13,7,1889,0.5384615384615384,0.7,query_1,['GO:0002396']
DR 27-,GO:BP,GO:0019886,antigen processing and presentation of exogenous peptide antigen via MHC class II,4.8141482122836515e-08,True,"""The process in which an antigen-presenting cell expresses a peptide antigen of exogenous origin on its cell surface in association with an MHC class II protein complex. The peptide antigen is typically, but not always, processed from a whole protein."" [GOC:add, ISBN:0781735149, PMID:15771591]",16,13,8,1889,0.6153846153846154,0.5,query_1,"['GO:0002478', 'GO:0002495']"
DR 27-,GO:BP,GO:0002478,antigen processing and presentation of exogenous peptide antigen,1.0210208723050938e-07,True,"""The process in which an antigen-presenting cell expresses a peptide antigen of exogenous origin on its cell surface in association with an MHC protein complex. The peptide is typically a fragment of a larger exogenous protein which has been degraded within the cell."" [GOC:add, ISBN:0781735149]",18,16,9,1889,0.5625,0.5,query_1,"['GO:0019884', 'GO:0048002']"
DR 27-,GO:BP,GO:0002504,antigen processing and presentation of peptide or polysaccharide antigen via MHC class II,1.2452378803742918e-07,True,"""The process in which an antigen-presenting cell expresses antigen (peptide or polysaccharide) on its cell surface in association with an MHC class II protein complex."" [GOC:add, ISBN:0781735149, PMID:15531770, PMID:15771591, PMID:16153240]",20,17,9,1889,0.5294117647058824,0.45,query_1,['GO:0019882']
DR 27-,GO:BP,GO:0002495,antigen processing and presentation of peptide antigen via MHC class II,1.6136888271758034e-07,True,"""The process in which an antigen-presenting cell expresses a peptide antigen on its cell surface in association with an MHC class II protein complex. The peptide antigen is typically, but not always, processed from a whole protein."" [GOC:add, ISBN:0781735149, PMID:15531770, PMID:15771591]",18,13,8,1889,0.6153846153846154,0.4444444444444444,query_1,"['GO:0002504', 'GO:0048002']"
DR 27-,GO:BP,GO:0048002,antigen processing and presentation of peptide antigen,6.303926417875969e-07,True,"""The process in which an antigen-presenting cell expresses peptide antigen in association with an MHC protein complex on its cell surface, including proteolysis and transport steps for the peptide antigen both prior to and following assembly with the MHC protein complex. The peptide antigen is typically, but not always, processed from an endogenous or exogenous protein."" [GOC:add, ISBN:0781735149, PMID:15771591]",25,16,10,1889,0.625,0.4,query_1,['GO:0019882']
DR 27-,GO:BP,GO:0019884,antigen processing and presentation of exogenous antigen,8.277178572906981e-07,True,"""The process in which an antigen-presenting cell expresses antigen (peptide or lipid) of exogenous origin on its cell surface in association with an MHC protein complex."" [GOC:add, ISBN:0781735149, PMID:15771591, PMID:15928678]",19,16,9,1889,0.5625,0.47368421052631576,query_1,['GO:0019882']
DR 27-,GO:BP,GO:0019882,antigen processing and presentation,1.613789456549828e-05,True,"""The process in which an antigen-presenting cell expresses antigen (peptide or lipid) on its cell surface in association with an MHC protein complex."" [GO_REF:0000022, GOC:add, ISBN:0781735149, PMID:15771591, PMID:15928678]",41,17,11,1889,0.6470588235294118,0.2682926829268293,query_1,['GO:0002376']
DR 37+,GO:BP,GO:0002250,adaptive immune response,1.8145167349769545e-22,True,"""An immune response mediated by cells expressing specific receptors for antigens produced through a somatic diversification process, and allowing for an enhanced secondary response to subsequent exposures to the same antigen (immunological memory)."" [GO_REF:0000022, GOC:add, ISBN:0781735149]",256,82,78,1889,0.9512195121951219,0.3046875,query_1,['GO:0006955']
DR 37+,GO:BP,GO:0016064,immunoglobulin mediated immune response,6.242294179598482e-15,True,"""An immune response mediated by immunoglobulins, whether cell-bound or in solution."" [GO_REF:0000022, GOC:add, ISBN:0781735149]",74,80,40,1889,0.5,0.5405405405405406,query_1,['GO:0019724']
DR 37+,GO:BP,GO:0019724,B cell mediated immunity,1.1163173055279595e-14,True,"""Any process involved with the carrying out of an immune response by a B cell, through, for instance, the production of antibodies or cytokines, or antigen presentation to T cells."" [GO_REF:0000022, GOC:add, ISBN:0781735149]",75,80,40,1889,0.5,0.5333333333333333,query_1,"['GO:0002449', 'GO:0002460']"
DR 37+,GO:BP,GO:0002449,lymphocyte mediated immunity,3.587008395410809e-05,True,"""Any process involved in the carrying out of an immune response by a lymphocyte."" [GO_REF:0000022, GOC:add, ISBN:0781735149]",116,80,40,1889,0.5,0.3448275862068966,query_1,['GO:0002443']
