factor,smi_cell_type,smi_cell_type_value,smi_cnv_status,smi_cnv_status_value,smi_leiden,smi_leiden_value,smi_celltypist_01_4,smi_celltypist_01_4_value,any_smi,enrichr_term,enrichr_padj,gprofiler_term,gprofiler_p,decoupler_tf,decoupler_padj,n_tools,top_genes,max_score,has_program
DR 39-,,,,,,,,,False,,,,,,,0,,0.00026270407,False
DR 41-,,,,,,,,,False,,,,,,,0,,0.00025076233,False
DR 42+,,,,,,,,,False,,,,,,,0,,0.00041068203,False
DR 43+,,,,,,,,,False,,,,,,,0,,0.0007696604,False
DR 44+,,,,,,,,,False,,,,,,,0,,0.08648756,False
DR 44-,,,,,,,,,False,,,,,,,0,,0.00021489683,False
DR 45+,,,,,,,,,False,,,,,,,0,,1.319193e-05,False
DR 46+,,,,,,,,,False,,,,,,,0,,0.00036997529,False
DR 48+,,,,,,,,,False,,,,,,,0,,0.00022241152,False
DR 50+,,,,,,,,,False,,,,,,,0,,0.00054765143,False
DR 52-,,,,,,,,,False,,,,,,,0,,4.043526e-05,False
DR 53-,,,,,,,,,False,,,,,,,0,,0.00022580553,False
DR 54+,,,,,,,,,False,,,,,,,0,,5.0562856e-05,False
DR 9+,,,,,,,T_prol,0.456,True,Mitotic Sister Chromatid Segregation (GO:0000070),6.756885356722151e-19,nuclear chromosome segregation,8.724182129043635e-12,TP53,0.0009475020677508131,3,"UBE2C, CDC20, PLK1, DEPDC1, CCNB1, CCNB2, NEK2, CENPA",6.9791737,True
DR 5-,basal,0.552,,,4,0.704,basal,0.569,True,Muscle Contraction (GO:0006936),0.014399474548450602,,,SRF,0.0005882905954258144,2,"C2orf40, CXCL14, MYH11, MYLK, TAGLN, SYT8, ACTA2, GRP",12.1470995,True
DR 8-,,,,,27,0.414,Macro-IFN,0.507,True,Inflammatory Response (GO:0006954),0.00010431113097887079,cell junction disassembly,0.04360561230048653,,,2,"IL1B, C1QB, C1QC, LYZ, OLR1, C1QA, MS4A6A, SPP1",9.746534,True
DR 14+,,,,,,,Lumsec-HLA,0.446,True,Intermediate Filament Organization (GO:0045109),6.742010090543016e-08,,,NFATC4,2.5172203768544493e-08,2,"KLK7, CST6, KLK5, KLK6, KRT81, LCN2, GAL, S100P",6.1154456,True
DR 17-,,,,,21,0.793,pericytes,0.401,True,Hydrogen Peroxide Catabolic Process (GO:0042744),2.1067055666845006e-06,,,NR2F2,1.4730225859685408e-08,2,"HBB, HBA2, HBA1, ALAS2, CA1, HBM, SNCA, AHSP",70.197075,True
DR 20-,,,,,,,Lumsec-HLA,0.682,True,Retina Homeostasis (GO:0001895),0.028812070048572974,,,ELK3,0.0001012872955476161,2,"ZG16B, AQP5, AC084866.1, CSN3, PPP1R1B, CLDN10, S100B, ELF5",3.098037,True
DR 37+,,,,,24,0.766,mDC,0.46,True,B Cell Receptor Signaling Pathway (GO:0050853),4.0210586407986564e-05,adaptive immune response,1.8145167349769545e-22,,,2,"IGLV3-21, IGHV3-21, IGKV3-20, JCHAIN, IGHG1, IGKV4-1, IGKC, IGKV1-5",28.183043,True
DR 50-,,,,,28,0.487,,,True,Cellular Response To Zinc Ion (GO:0071294),3.031099878645106e-21,detoxification of copper ion,3.789973134192653e-14,,,2,"MT1G, MT1M, MT1H, MT2A, MT1E, MT1X, MT1F, MT1A",3.6399965,True
DR 1-,,,,,27,0.628,Vas-arterial,0.481,True,Extracellular Matrix Organization (GO:0030198),4.3151500208418175e-08,,,,,1,"COL1A1, COL3A1, COL1A2, DCN, LUM, CCL21, VWF, SFRP2",11.740725,True
