sample,rho,method,tfidf_min,adjust_method,n_cells,n_genes,umis_before,umis_after,frac_removed,n_deltas,soupx_version
P46_A_P,0.01,autoEstCont,1,subtraction,2982,30869,16789455,16621686,0.0099925220919916,156886,1.6.2
P45_C_N,0.01,autoEstCont,1,subtraction,134,30869,155616,154050,0.0100632325724861,1429,1.6.2
P45_A_P,0.01,autoEstCont,1,subtraction,1040,30869,4848788,4800459,0.0099672330487536,46572,1.6.2
P45_B_N,0.01,autoEstCont,1,subtraction,3576,30869,12112094,11991045,0.0099940604820273,97974,1.6.2
P52_C_P,0.01,autoEstCont,1,subtraction,191,30869,487792,482912,0.0100042641125726,4640,1.6.2
P53_A_N,0.01,autoEstCont,1,subtraction,8409,30869,46362878,45898355,0.0100192874135208,445653,1.6.2
P52_A_P,0.01,autoEstCont,1,subtraction,2686,30869,12991717,12862111,0.0099760485854179,122068,1.6.2
P47_C_P,0.01,autoEstCont,1,subtraction,2907,30869,10114718,10013291,0.0100276646368193,97773,1.6.2
P48_B_N,0.01,autoEstCont,1,subtraction,1033,30869,5131387,5079985,0.0100171746937037,50321,1.6.2
P48_B_P,0.01,autoEstCont,1,subtraction,945,30869,3348712,3315273,0.009985630296066,31820,1.6.2
P48_C_N,0.01,autoEstCont,1,subtraction,1612,30869,11000194,10889838,0.0100321867050708,104427,1.6.2
P48_C_P,0.01,autoEstCont,1,subtraction,501,30869,4823672,4775411,0.0100050335097411,40341,1.6.2
P48_A_P,0.01,autoEstCont,1,subtraction,881,30869,742176,734781,0.0099639438623722,7384,1.6.2
P46_A_N,0.01,autoEstCont,1,subtraction,1815,30869,27717153,27439877,0.0100037691461313,234677,1.6.2
P45_B_P,0.01,autoEstCont,1,subtraction,3594,30869,9791594,9693773,0.0099903039280427,89884,1.6.2
P46_C_N,0.01,autoEstCont,1,subtraction,250,30869,1144613,1133174,0.0099937708203558,11022,1.6.2
P56_B_N,0.01,autoEstCont,1,subtraction,4699,30869,13006626,12876351,0.010016048743156,127938,1.6.2
P53_B_P,0.01,autoEstCont,1,subtraction,5490,30869,28724941,28437353,0.0100117873175092,270539,1.6.2
P57_B_N,0.01,autoEstCont,1,subtraction,1545,30869,8789302,8701262,0.0100167226020906,84330,1.6.2
P53_C_N,0.01,autoEstCont,1,subtraction,1451,30869,16847441,16679218,0.0099850772589142,153737,1.6.2
P63_A_P,0.01,autoEstCont,1,subtraction,164,30869,345880,342403,0.0100526194055742,3451,1.6.2
P57_C_P,0.01,autoEstCont,1,subtraction,6216,30869,31108322,30796678,0.0100180266875211,288667,1.6.2
P57_C_N,0.01,autoEstCont,1,subtraction,392,30869,2918733,2889347,0.0100680672058732,26203,1.6.2
P57_B_P,0.01,autoEstCont,1,subtraction,6277,30869,38684079,38297535,0.0099923278514657,326349,1.6.2
P57_A_N,0.01,autoEstCont,1,subtraction,361,30869,2171459,2149564,0.010083082388385,20360,1.6.2
P63_C_P,0.01,autoEstCont,1,subtraction,1464,30869,3346827,3313461,0.0099694426990101,32834,1.6.2
P63_C_N,0.01,autoEstCont,1,subtraction,206,30869,744572,737010,0.0101561702562009,6832,1.6.2
P63_B_N,0.01,autoEstCont,1,subtraction,11016,30869,19319643,19126267,0.0100092946852072,191111,1.6.2
P64_B_P,0.01,autoEstCont,1,subtraction,1053,30869,4633721,4587234,0.0100323260722862,43874,1.6.2
P64_B_N,0.01,autoEstCont,1,subtraction,555,30869,3431494,3397100,0.0100230395273895,28708,1.6.2
P64_A_N,0.01,autoEstCont,1,subtraction,188,30869,1148211,1136724,0.0100042587991232,10723,1.6.2
P64_C_N,0.01,autoEstCont,1,subtraction,82,30869,672587,665822,0.0100581783471878,5880,1.6.2
P66_A_P,0.01,autoEstCont,1,subtraction,424,30869,2097593,2076515,0.0100486605361479,19273,1.6.2
P64_C_P,0.01,autoEstCont,1,subtraction,158,30869,551430,545975,0.0098924614184937,5162,1.6.2
P66_B_P,0.01,autoEstCont,1,subtraction,4079,30869,8284023,8201038,0.0100174758085534,82078,1.6.2
P66_B_N,0.01,autoEstCont,1,subtraction,147,30869,534714,529487,0.0097753191425696,4745,1.6.2
