# convergence | collection gavish (pan-cancer malignant metaprograms (Gavish)) | DRVI run drvi_epi_64 | 04_3 - 04_7 signature interpretation
# CAVEAT: Cell type labels come from CellTypist (Cells_Adult_Breast.pkl, Kumar et al.
# CAVEAT: 2023), a NORMAL adult breast atlas with no malignant class: TNBC cells are assigned to the nearest normal state.
# CAVEAT: This subset therefore mixes normal and malignant epithelium and no CNV inference has been run.
# CAVEAT: Every state reported here is an EPITHELIAL state, not a tumour cell state.
dim_direction,dimension,direction,A_best_signature,A_rho,A_best_any_readout,A_rho_any,B_best_signature,B_neglog10_fdr,B_fdr,A_significant,B_significant,same_signature,same_family,A_family,B_family,verdict,dimension_vanished,confounder_flags
DR 28+,DR 28,+,MP5_STRESS,0.2972,MP5_STRESS,0.2972,MP5_STRESS,13.1468,7.131813866797388e-14,True,True,True,True,stress,stress,convergent,False,cell_cycle
DR 28-,DR 28,-,MP8_PROTEASOMAL_DEGRADATION,0.2187,MP8_PROTEASOMAL_DEGRADATION,0.2187,MP14_EMT_3,13.5505,2.815140015133303e-14,True,True,False,False,proteostasis,emt,both_routes_different_family,False,none
DR 29+,DR 29,+,MP13_EMT_2,0.3863,MP13_EMT_2,0.3863,MP13_EMT_2,19.817,1.5240527537972906e-20,True,True,True,True,emt,emt,convergent,False,mesenchymal_may_be_ambient_or_doublet
DR 29-,DR 29,-,MP30_PDAC_CLASSICAL,0.1026,MP30_PDAC_CLASSICAL,0.1026,MP25_ASTROCYTES,1.166,0.06823386941416697,False,False,False,False,epithelial_lineage,neural,neither,False,none
DR 30+,DR 30,+,MP5_STRESS,0.2033,MP5_STRESS,0.2033,MP5_STRESS,15.6662,2.1567509598981672e-16,True,True,True,True,stress,stress,convergent,False,cell_cycle
DR 30-,DR 30,-,MP38_GLUTATHIONE,0.1158,MP38_GLUTATHIONE,0.1158,MP30_PDAC_CLASSICAL,5.5054,3.1232014671492145e-06,False,True,False,False,detoxification,epithelial_lineage,factor_only_candidate_patient_or_technical,False,none
DR 31+,DR 31,+,MP14_EMT_3,0.1957,MP14_EMT_3,0.1957,MP14_EMT_3,13.5505,2.815140015133303e-14,False,True,False,False,emt,emt,factor_only_candidate_patient_or_technical,False,mesenchymal_may_be_ambient_or_doublet
DR 31-,DR 31,-,MP10_PROTEIN_MATURATION,0.1336,MP10_PROTEIN_MATURATION,0.1336,MP17_INTERFERON_MHC_II_1,3.4447,0.0003591699547871438,False,True,False,False,proteostasis,immune,factor_only_candidate_patient_or_technical,False,none
DR 32+,DR 32,+,MP23_SECRETED_2,0.3379,MP23_SECRETED_2,0.3379,MP23_SECRETED_2,8.5477,2.8333485277843668e-09,True,True,True,True,secreted,secreted,convergent,False,none
DR 32-,DR 32,-,MP20_MYC,0.1064,MP20_MYC,0.1064,MP26_NPC_GLIOMA,2.6384,0.0022993230870212242,False,True,False,False,metabolic,neural,factor_only_candidate_patient_or_technical,False,lineage_control_claim_bounds_the_rest
DR 33+,DR 33,+,MP22_SECRETED_1,0.0647,MP22_SECRETED_1,0.0647,MP14_EMT_3,5.0843,8.235690171536104e-06,False,True,False,False,secreted,emt,factor_only_candidate_patient_or_technical,False,mesenchymal_may_be_ambient_or_doublet
DR 33-,DR 33,-,MP10_PROTEIN_MATURATION,0.1197,MP10_PROTEIN_MATURATION,0.1197,MP30_PDAC_CLASSICAL,4.6337,2.3243418403925253e-05,False,True,False,False,proteostasis,epithelial_lineage,factor_only_candidate_patient_or_technical,False,none
DR 34+,DR 34,+,MP3_CELL_CYCLE_HMG_RICH,0.0723,MP3_CELL_CYCLE_HMG_RICH,0.0723,MP14_EMT_3,6.8176,1.5219486509036537e-07,False,True,False,False,cell_cycle,emt,factor_only_candidate_patient_or_technical,False,mesenchymal_may_be_ambient_or_doublet
DR 34-,DR 34,-,MP10_PROTEIN_MATURATION,0.1097,MP10_PROTEIN_MATURATION,0.1097,MP17_INTERFERON_MHC_II_1,2.2869,0.005165352922264228,False,True,False,False,proteostasis,immune,factor_only_candidate_patient_or_technical,False,none
DR 35+,DR 35,+,MP3_CELL_CYCLE_HMG_RICH,0.1216,MP3_CELL_CYCLE_HMG_RICH,0.1216,MP14_EMT_3,2.3619,0.004346102853675936,False,True,False,False,cell_cycle,emt,factor_only_candidate_patient_or_technical,False,mesenchymal_may_be_ambient_or_doublet
DR 35-,DR 35,-,MP7_STRESS_IN_VITRO,0.3363,MP7_STRESS_IN_VITRO,0.3363,MP7_STRESS_IN_VITRO,13.8033,1.5728959710650156e-14,True,True,True,True,stress,stress,convergent,False,cell_cycle
DR 36+,DR 36,+,MP11_TRANSLATION_INITIATION,0.0927,MP11_TRANSLATION_INITIATION,0.0927,MP20_MYC,3.451,0.00035399734108343465,False,True,False,False,proteostasis,metabolic,factor_only_candidate_patient_or_technical,False,cell_cycle
DR 36-,DR 36,-,MP17_INTERFERON_MHC_II_1,0.4469,MP17_INTERFERON_MHC_II_1,0.4469,MP17_INTERFERON_MHC_II_1,20.1547,7.003255967370565e-21,True,True,True,True,immune,immune,convergent,False,none
DR 37+,DR 37,+,MP12_EMT_1,0.2793,MP12_EMT_1,0.2793,MP14_EMT_3,9.8558,1.3937985231128231e-10,True,True,False,True,emt,emt,convergent,False,mesenchymal_may_be_ambient_or_doublet
DR 37-,DR 37,-,MP30_PDAC_CLASSICAL,0.1196,MP30_PDAC_CLASSICAL,0.1196,MP5_STRESS,1.9839,0.010377673430708556,False,True,False,False,epithelial_lineage,stress,factor_only_candidate_patient_or_technical,False,cell_cycle
DR 38+,DR 38,+,MP22_SECRETED_1,0.1489,MP22_SECRETED_1,0.1489,MP14_EMT_3,6.8176,1.5219486509036537e-07,False,True,False,False,secreted,emt,factor_only_candidate_patient_or_technical,False,mesenchymal_may_be_ambient_or_doublet
DR 38-,DR 38,-,MP10_PROTEIN_MATURATION,0.3615,MP10_PROTEIN_MATURATION,0.3615,MP17_INTERFERON_MHC_II_1,11.2294,5.8965773514625656e-12,True,True,False,False,proteostasis,immune,both_routes_different_family,False,depth
DR 39+,DR 39,+,MP5_STRESS,0.4477,MP5_STRESS,0.4477,MP5_STRESS,22.9666,1.0799409266631053e-23,True,True,True,True,stress,stress,convergent,False,cell_cycle
DR 39-,DR 39,-,MP8_PROTEASOMAL_DEGRADATION,0.1293,MP8_PROTEASOMAL_DEGRADATION,0.1293,MP10_PROTEIN_MATURATION,4.6069,2.4722933460623358e-05,False,True,False,False,proteostasis,proteostasis,factor_only_candidate_patient_or_technical,False,depth
DR 40+,DR 40,+,MP14_EMT_3,0.1395,MP14_EMT_3,0.1395,MP14_EMT_3,4.3109,4.887648886615807e-05,False,True,False,False,emt,emt,factor_only_candidate_patient_or_technical,False,mesenchymal_may_be_ambient_or_doublet
DR 40-,DR 40,-,MP2_CELL_CYCLE_G1_S,0.0738,MP2_CELL_CYCLE_G1_S,0.0738,MP36_IG,16.6268,2.3615655239177208e-17,False,True,False,False,cell_cycle,other_lineage,factor_only_candidate_patient_or_technical,False,lineage_control_claim_bounds_the_rest
DR 41+,DR 41,+,MP2_CELL_CYCLE_G1_S,0.0681,MP2_CELL_CYCLE_G1_S,0.0681,MP3_CELL_CYCLE_HMG_RICH,4.4403,3.628273359403352e-05,False,True,False,False,cell_cycle,cell_cycle,factor_only_candidate_patient_or_technical,False,"depth,cell_cycle"
DR 41-,DR 41,-,MP10_PROTEIN_MATURATION,0.2462,MP10_PROTEIN_MATURATION,0.2462,MP39_METAL_RESPONSE,3.1763,0.0006663463144693568,True,True,False,False,proteostasis,detoxification,both_routes_different_family,False,depth
DR 42+,DR 42,+,MP10_PROTEIN_MATURATION,0.1574,MP10_PROTEIN_MATURATION,0.1574,MP23_SECRETED_2,2.7677,0.0017072613161061418,False,True,False,False,proteostasis,secreted,factor_only_candidate_patient_or_technical,False,none
DR 42-,DR 42,-,MP39_METAL_RESPONSE,0.3822,MP39_METAL_RESPONSE,0.3822,MP14_EMT_3,3.5923,0.0002556819088689687,True,True,False,False,detoxification,emt,both_routes_different_family,False,none
DR 43+,DR 43,+,MP41_UNASSIGNED,0.1565,MP41_UNASSIGNED,0.1565,MP3_CELL_CYCLE_HMG_RICH,2.1166,0.007645396264150442,False,True,False,False,unassigned,cell_cycle,factor_only_candidate_patient_or_technical,False,"depth,cell_cycle"
DR 43-,DR 43,-,MP31_ALVEOLAR,0.2543,MP31_ALVEOLAR,0.2543,MP19_EPITHELIAL_SENESCENCE,17.0864,8.195963204818438e-18,True,True,False,False,epithelial_lineage,senescence,both_routes_different_family,False,none
DR 44+,DR 44,+,MP30_PDAC_CLASSICAL,0.1662,MP30_PDAC_CLASSICAL,0.1662,MP30_PDAC_CLASSICAL,4.6337,2.3243418403925253e-05,False,True,False,False,epithelial_lineage,epithelial_lineage,factor_only_candidate_patient_or_technical,False,none
DR 44-,DR 44,-,MP3_CELL_CYCLE_HMG_RICH,0.1899,MP3_CELL_CYCLE_HMG_RICH,0.1899,MP3_CELL_CYCLE_HMG_RICH,3.139,0.0007261059574351551,False,True,False,False,cell_cycle,cell_cycle,factor_only_candidate_patient_or_technical,False,"depth,cell_cycle"
DR 45+,DR 45,+,MP21_RESPIRATION,0.1471,MP21_RESPIRATION,0.1471,MP25_ASTROCYTES,7.3265,4.7151987133644756e-08,False,True,False,False,metabolic,neural,factor_only_candidate_patient_or_technical,False,lineage_control_claim_bounds_the_rest
DR 45-,DR 45,-,MP19_EPITHELIAL_SENESCENCE,0.3252,MP19_EPITHELIAL_SENESCENCE,0.3252,MP5_STRESS,13.1468,7.131813866797388e-14,True,True,False,False,senescence,stress,both_routes_different_family,False,none
DR 46+,DR 46,+,MP24_CILIA,0.1009,MP24_CILIA,0.1009,MP25_ASTROCYTES,6.3708,4.257944535825967e-07,False,True,False,False,cilia,neural,factor_only_candidate_patient_or_technical,False,lineage_control_claim_bounds_the_rest
DR 46-,DR 46,-,MP23_SECRETED_2,0.1531,MP23_SECRETED_2,0.1531,MP17_INTERFERON_MHC_II_1,4.7865,1.634933151129828e-05,False,True,False,False,secreted,immune,factor_only_candidate_patient_or_technical,False,none
DR 47+,DR 47,+,MP39_METAL_RESPONSE,0.081,MP39_METAL_RESPONSE,0.081,MP14_EMT_3,6.8176,1.5219486509036537e-07,False,True,False,False,detoxification,emt,factor_only_candidate_patient_or_technical,False,mesenchymal_may_be_ambient_or_doublet
DR 47-,DR 47,-,MP19_EPITHELIAL_SENESCENCE,0.0752,MP19_EPITHELIAL_SENESCENCE,0.0752,MP30_PDAC_CLASSICAL,3.8277,0.0001486962444868948,False,True,False,False,senescence,epithelial_lineage,factor_only_candidate_patient_or_technical,False,none
DR 48+,DR 48,+,MP21_RESPIRATION,0.0978,MP21_RESPIRATION,0.0978,MP14_EMT_3,2.3619,0.004346102853675936,False,True,False,False,metabolic,emt,factor_only_candidate_patient_or_technical,False,mesenchymal_may_be_ambient_or_doublet
DR 48-,DR 48,-,MP22_SECRETED_1,0.3305,MP22_SECRETED_1,0.3305,MP22_SECRETED_1,15.9221,1.1964650033390325e-16,True,True,True,True,secreted,secreted,convergent,False,none
DR 49+,DR 49,+,MP19_EPITHELIAL_SENESCENCE,0.146,MP19_EPITHELIAL_SENESCENCE,0.146,MP14_EMT_3,2.3619,0.004346102853675936,False,True,False,False,senescence,emt,factor_only_candidate_patient_or_technical,False,mesenchymal_may_be_ambient_or_doublet
DR 49-,DR 49,-,MP25_ASTROCYTES,0.1651,MP25_ASTROCYTES,0.1651,MP12_EMT_1,9.9623,1.0906866565159709e-10,False,True,False,False,neural,emt,factor_only_candidate_patient_or_technical,False,mesenchymal_may_be_ambient_or_doublet
DR 50+,DR 50,+,MP41_UNASSIGNED,0.0944,MP41_UNASSIGNED,0.0944,MP30_PDAC_CLASSICAL,1.9105,0.012288531865785057,False,True,False,False,unassigned,epithelial_lineage,factor_only_candidate_patient_or_technical,False,none
DR 50-,DR 50,-,MP17_INTERFERON_MHC_II_1,0.1999,MP17_INTERFERON_MHC_II_1,0.1999,MP18_INTERFERON_MHC_II_2,8.1266,7.471365798284319e-09,False,True,False,False,immune,immune,factor_only_candidate_patient_or_technical,False,none
