# dim_geneset_signed_significance | collection gavish (pan-cancer malignant metaprograms (Gavish)) | DRVI run drvi_epi_64 | 04_3 - 04_7 signature interpretation
# CAVEAT: Cell type labels come from CellTypist (Cells_Adult_Breast.pkl, Kumar et al.
# CAVEAT: 2023), a NORMAL adult breast atlas with no malignant class: TNBC cells are assigned to the nearest normal state.
# CAVEAT: This subset therefore mixes normal and malignant epithelium and no CNV inference has been run.
# CAVEAT: Every state reported here is an EPITHELIAL state, not a tumour cell state.
,MP2_CELL_CYCLE_G1_S,MP3_CELL_CYCLE_HMG_RICH,MP4_CHROMATIN,MP5_STRESS,MP6_HYPOXIA,MP7_STRESS_IN_VITRO,MP8_PROTEASOMAL_DEGRADATION,MP9_UNFOLDED_PROTEIN_RESPONSE,MP10_PROTEIN_MATURATION,MP11_TRANSLATION_INITIATION,MP12_EMT_1,MP13_EMT_2,MP14_EMT_3,MP15_EMT_4,MP16_MES_GLIOMA,MP17_INTERFERON_MHC_II_1,MP18_INTERFERON_MHC_II_2,MP19_EPITHELIAL_SENESCENCE,MP20_MYC,MP21_RESPIRATION,MP38_GLUTATHIONE,MP39_METAL_RESPONSE,MP22_SECRETED_1,MP23_SECRETED_2,MP24_CILIA,MP25_ASTROCYTES,MP26_NPC_GLIOMA,MP27_OLIGO_PROGENITOR,MP28_OLIGO_NORMAL,MP29_NPC_OPC,MP30_PDAC_CLASSICAL,MP31_ALVEOLAR,MP40_PDAC_RELATED,MP32_SKIN_PIGMENTATION,MP33_RBCS,MP34_PLATELET_ACTIVATION,MP35_HEMATO_RELATED_1,MP36_IG,MP37_HEMATO_RELATED_2,MP41_UNASSIGNED
DR 37,-0.0463,0.3006,-0.2137,-1.9839,2.8427,0.5711,0.6445,0.0,-1.8808,-0.6445,4.3109,9.6767,9.8558,-0.4015,7.3682,-0.5028,1.4098,0.6744,0.1125,0.4869,-0.2741,2.606,0.7251,0.076,0.9478,2.0349,1.8808,0.1823,0.5711,-0.0216,-1.4144,-0.4015,1.854,-0.6332,-0.2741,1.6865,-0.273,0.0,-0.0,-0.3006
DR 43,1.8131,2.1166,0.2137,1.166,-0.3508,2.0817,-0.6445,-0.4869,-1.2617,0.6445,0.1568,-2.4937,-5.9215,-0.9329,-0.273,-2.8427,-2.8427,-17.0864,0.5233,-0.4869,-0.2741,2.0781,-0.4518,-6.0364,-0.9478,1.5528,-0.4015,0.5028,0.9719,0.2573,-1.9105,-1.5652,-5.0843,0.3006,-0.2741,-0.187,-0.273,-0.0,-0.3219,0.0372
DR 8,2.9753,3.139,0.2137,0.3508,1.2757,0.0725,1.4144,-0.4869,0.4015,1.4144,-0.0,-2.4937,-13.5505,-0.0,-1.6865,0.5028,0.7527,-17.0864,0.5233,-0.4869,-0.0725,-2.0781,-1.077,-2.2495,0.1823,0.789,0.4015,-0.1823,-1.4537,0.0216,-0.6791,-0.7012,-16.1973,-1.051,-0.0,-0.4413,0.0973,0.0,0.3219,0.0372
DR 22,-0.0463,0.7354,0.2137,-0.0,1.2757,-0.2741,-0.6445,0.0,-1.2617,-1.4144,0.724,0.3508,-4.3109,-0.4015,-1.2193,-0.0,-1.4098,-0.6744,-1.1694,0.4869,-0.2741,0.373,-0.7251,-0.7824,-1.5163,1.5528,0.4015,0.9478,1.4537,0.2573,-3.1152,-0.7012,0.7205,2.2384,-0.0,-0.7545,-0.0973,0.0,-0.1284,0.3006
DR 46,-0.1801,-0.7354,0.2137,-0.0,2.2369,-0.2741,-0.6445,-0.4869,1.2617,0.6445,0.5005,0.3508,-2.3619,0.0787,1.2193,-4.7865,1.8256,-1.3391,1.1694,0.0,-0.9719,2.0781,0.0697,-0.3508,1.5163,6.3708,2.6384,0.5028,0.5711,0.2573,-2.4801,0.4015,-0.47,1.051,0.0725,-0.187,-0.273,0.0,0.5953,0.0
DR 17,0.1801,-0.3006,0.0,0.5655,-1.7189,-0.2741,-0.1487,0.0,1.2617,-0.6445,-0.9962,-0.826,-2.9497,-0.9329,-2.239,-2.8427,-1.051,1.3391,-1.1694,0.0,0.2741,-3.1763,-0.216,2.2495,-0.9478,-1.5528,0.4015,0.1823,0.9719,0.0216,1.4144,1.5652,0.7205,-0.6332,-0.2741,-0.4413,-0.273,-0.0,-0.5953,0.0372
DR 19,-2.3521,1.3312,0.2137,35.1144,0.9056,3.657,-0.1487,-0.4869,1.2617,-0.6445,-0.5005,-0.3508,-1.854,0.2137,-0.5179,0.0378,0.1449,0.2323,-2.1005,-0.4869,-0.0725,0.8849,4.0223,0.7824,-0.5028,0.5233,-0.7582,-0.0,-0.2741,0.6445,-0.2015,-0.0,-0.47,-0.0877,0.0725,-0.4413,0.273,0.2466,0.1284,0.3006
DR 52,-0.0,-0.3006,0.0,-0.1771,0.3508,-0.0725,-0.6445,0.0,-0.7582,-0.1487,-0.5005,0.06,-5.0843,-1.2757,-0.8186,-3.4447,-6.3708,1.7651,0.5233,0.0,1.4537,0.8849,-0.4518,-1.0839,0.5028,1.5528,-0.7582,0.1823,0.9719,0.6445,1.0148,0.4015,0.7205,-0.3006,-0.0725,-0.0321,-0.5179,-0.0,-0.0,0.0
DR 28,-0.9605,-2.1166,0.8059,13.1468,-1.2757,0.5711,-1.4144,-0.4869,-0.4015,-0.1487,-0.5005,-3.0645,-13.5505,0.9329,1.2193,-2.2869,-1.8256,-4.8886,-0.5233,-0.4869,0.2741,-1.6046,1.4992,-0.7824,-0.5028,-0.5233,-3.5572,-0.5028,-0.9719,1.1694,-0.2015,0.0216,-3.5923,-0.0877,-0.0725,-1.6865,0.273,-0.0,-0.3219,0.7354
DR 12,-0.9605,-1.3312,0.0,-1.166,-0.9056,-0.9719,-2.6215,0.0,-0.7582,-1.4144,6.4605,0.5655,-4.3109,1.2757,0.273,1.8256,1.051,-1.7651,-1.1694,0.0,-0.2741,-1.2193,-0.0697,-0.5463,-0.9478,1.166,-1.8808,-0.5028,-0.9719,0.6445,-0.6791,0.7012,-0.1067,-0.0877,0.0725,1.6865,0.5179,-0.0,0.3219,0.3006
