# factor_first_hallmark_significant | collection gavish (pan-cancer malignant metaprograms (Gavish)) | DRVI run drvi_epi_64 | 04_3 - 04_7 signature interpretation
# CAVEAT: Cell type labels come from CellTypist (Cells_Adult_Breast.pkl, Kumar et al.
# CAVEAT: 2023), a NORMAL adult breast atlas with no malignant class: TNBC cells are assigned to the nearest normal state.
# CAVEAT: This subset therefore mixes normal and malignant epithelium and no CNV inference has been run.
# CAVEAT: Every state reported here is an EPITHELIAL state, not a tumour cell state.
dimension,collection,Gene_set,Term,Overlap,P-value,Adjusted P-value,Odds Ratio,Combined Score,direction,dim,fdr_bh_global,significant
DR 5-,hallmark,gs_ind_0,p53 Pathway,13/41,9.534578445982856e-05,0.0021452801503461,4.477894736842106,41.456351435534096,-,DR 5,0.0023570460020970493,True
DR 6+,hallmark,gs_ind_0,Estrogen Response Early,14/49,0.0001808341096007,0.0039783504112174,3.8665936638598346,33.32203534510104,+,DR 6,0.003975589585114627,True
DR 6+,hallmark,gs_ind_0,Estrogen Response Late,15/64,0.0011107953964648,0.0122187493611131,2.956601050940673,20.11280772356416,+,DR 6,0.01591587433740609,True
DR 6+,hallmark,gs_ind_0,TNF-alpha Signaling via NF-kB,25/93,1.5997360641219624e-06,7.038838682136635e-05,3.674901740595171,49.04403290298948,+,DR 6,7.943517008053882e-05,True
DR 6+,hallmark,gs_ind_0,UV Response Up,10/32,0.0007188444671245,0.0105430521844935,4.356780402449694,31.53379074881248,+,DR 6,0.011422190705205847,True
DR 6-,hallmark,gs_ind_0,DNA Repair,6/11,0.000279598778089,0.0045247237314319,10.909792007478384,89.26560832643746,-,DR 6,0.005631080285988252,True
DR 6-,hallmark,gs_ind_0,Estrogen Response Early,13/49,0.000686011952252,0.0050307543165149,3.4806575342465758,25.35525184951136,-,DR 6,0.01099145714873858,True
DR 6-,hallmark,gs_ind_0,Estrogen Response Late,19/64,6.480151748330988e-06,0.0002851266769265,4.14521841794569,49.521957069251535,-,DR 6,0.0002556553018519623,True
DR 6-,hallmark,gs_ind_0,Fatty Acid Metabolism,9/25,0.0004113385210392,0.0045247237314319,5.36521876730754,41.82775000316536,-,DR 6,0.007644597061781674,True
DR 6-,hallmark,gs_ind_0,Glycolysis,12/40,0.000321732334653,0.0045247237314319,4.124203080645912,33.16597763632865,-,DR 6,0.006281960161360271,True
DR 6-,hallmark,gs_ind_0,Hypoxia,14/61,0.0020198954677119,0.0111094250724154,2.87012840412022,17.80831302567982,-,DR 6,0.025020640632302242,True
DR 6-,hallmark,gs_ind_0,Myogenesis,11/47,0.0051906423404725,0.0253764736645324,2.9337116420284093,15.43395719507859,-,DR 6,0.048853104380917646,True
DR 6-,hallmark,gs_ind_0,mTORC1 Signaling,13/48,0.000551985177671,0.0048574695635056,3.5807323943661973,26.86261633819781,-,DR 6,0.009310203875212184,True
DR 6-,hallmark,gs_ind_0,p53 Pathway,11/41,0.0016150558548628,0.0101517796591379,3.5227734763614342,22.64574677312221,-,DR 6,0.02058124275223391,True
DR 7+,hallmark,gs_ind_0,DNA Repair,6/11,0.000279598778089,0.0048049419365203,10.909792007478384,89.26560832643746,+,DR 7,0.005631080285988252,True
DR 7+,hallmark,gs_ind_0,E2F Targets,14/53,0.0004469713429321,0.0048049419365203,3.467166661010622,26.742312191693923,+,DR 7,0.007934289929374673,True
DR 7+,hallmark,gs_ind_0,Estrogen Response Late,15/64,0.0011107953964648,0.0095528404095975,2.956601050940673,20.11280772356416,+,DR 7,0.01591587433740609,True
DR 7+,hallmark,gs_ind_0,Fatty Acid Metabolism,9/25,0.0004113385210392,0.0048049419365203,5.36521876730754,41.82775000316536,+,DR 7,0.007644597061781674,True
DR 7+,hallmark,gs_ind_0,Glycolysis,10/40,0.0046134016812048,0.0198376272291809,3.1995611204337164,17.209766726361703,+,DR 7,0.04526949520228219,True
DR 7+,hallmark,gs_ind_0,Hypoxia,14/61,0.0020198954677119,0.0108569381389515,2.87012840412022,17.80831302567982,+,DR 7,0.025020640632302242,True
DR 7+,hallmark,gs_ind_0,Interferon Alpha Response,12/40,0.000321732334653,0.0048049419365203,4.124203080645912,33.16597763632865,+,DR 7,0.006281960161360271,True
DR 7+,hallmark,gs_ind_0,Myc Targets V1,5/12,0.004192769000148,0.0198376272291809,6.727536231884058,36.82918333740776,+,DR 7,0.04236903410675874,True
DR 7+,hallmark,gs_ind_0,Pperoxisome,6/14,0.0014031510050112,0.0096917484193935,7.047482231967337,46.2951564116883,+,DR 7,0.019102729742833408,True
DR 7+,hallmark,gs_ind_0,Reactive Oxygen Species Pathway,5/10,0.001577726486878,0.0096917484193935,9.184143222506394,59.25398339743649,+,DR 7,0.02058124275223391,True
DR 8+,hallmark,gs_ind_0,DNA Repair,5/11,0.0026594995775354,0.0208327466906947,7.766869958685816,46.054566494324,+,DR 8,0.030454706891856673,True
DR 8+,hallmark,gs_ind_0,E2F Targets,14/53,0.0004469713429321,0.0067571379909708,3.467166661010622,26.742312191693923,+,DR 8,0.007934289929374673,True
DR 8+,hallmark,gs_ind_0,Estrogen Response Late,14/64,0.0032686442862646,0.021946611636348,2.695007034215486,15.42454928240058,+,DR 8,0.03599883573400401,True
DR 8+,hallmark,gs_ind_0,G2-M Checkpoint,13/49,0.000686011952252,0.0067571379909708,3.4806575342465758,25.35525184951136,+,DR 8,0.01099145714873858,True
DR 8+,hallmark,gs_ind_0,Glycolysis,10/40,0.0046134016812048,0.0271037348770786,3.1995611204337164,17.209766726361703,+,DR 8,0.04526949520228219,True
DR 8+,hallmark,gs_ind_0,Reactive Oxygen Species Pathway,6/10,0.0001385765478863,0.0033255090154855,13.3416166809483,118.5280925558654,+,DR 8,0.0032082505495386084,True
DR 8+,hallmark,gs_ind_0,UV Response Up,10/32,0.0007188444671245,0.0067571379909708,4.356780402449694,31.53379074881248,+,DR 8,0.011422190705205847,True
DR 8+,hallmark,gs_ind_0,mTORC1 Signaling,14/48,0.0001415110219355,0.0033255090154855,3.980922407428993,35.283444562178204,+,DR 8,0.0032090688438916534,True
DR 8-,hallmark,gs_ind_0,Estrogen Response Early,12/49,0.0023514429884335,0.0258658728727687,3.118479221927498,18.87530058397867,-,DR 8,0.028004263194580412,True
DR 8-,hallmark,gs_ind_0,Estrogen Response Late,17/64,9.965542808897806e-05,0.001461612945305,3.5205793775993115,32.437886249909255,-,DR 8,0.0024374321265074887,True
DR 8-,hallmark,gs_ind_0,KRAS Signaling Dn,12/35,7.567785795160356e-05,0.001461612945305,5.0158022461764205,47.59507259625568,-,DR 8,0.0019330574802715588,True
DR 8-,hallmark,gs_ind_0,p53 Pathway,13/41,9.534578445982856e-05,0.001461612945305,4.477894736842106,41.456351435534096,-,DR 8,0.0023570460020970493,True
DR 9+,hallmark,gs_ind_0,DNA Repair,6/11,0.000279598778089,0.0043803808567283,10.909792007478384,89.26560832643746,+,DR 9,0.005631080285988252,True
DR 9+,hallmark,gs_ind_0,E2F Targets,16/53,2.883496676266262e-05,0.0013552434378451,4.205636856368564,43.96539874658021,+,DR 9,0.0008881786553632977,True
DR 9+,hallmark,gs_ind_0,Hypoxia,14/61,0.0020198954677119,0.0135621552832085,2.87012840412022,17.80831302567982,+,DR 9,0.025020640632302242,True
DR 9+,hallmark,gs_ind_0,Myc Targets V1,5/12,0.004192769000148,0.0246325178758698,6.727536231884058,36.82918333740776,+,DR 9,0.04236903410675874,True
DR 9+,hallmark,gs_ind_0,Oxidative Phosphorylation,4/5,0.0004483700298631,0.0052683478508925,27.47328244274809,211.8160324680408,+,DR 9,0.007934289929374673,True
DR 9+,hallmark,gs_ind_0,Pperoxisome,6/14,0.0014031510050112,0.0123588574805444,7.047482231967337,46.2951564116883,+,DR 9,0.019102729742833408,True
DR 9+,hallmark,gs_ind_0,Reactive Oxygen Species Pathway,5/10,0.001577726486878,0.0123588574805444,9.184143222506394,59.25398339743649,+,DR 9,0.02058124275223391,True
DR 9+,hallmark,gs_ind_0,mTORC1 Signaling,14/48,0.0001415110219355,0.0033255090154855,3.980922407428993,35.283444562178204,+,DR 9,0.0032090688438916534,True
DR 9-,hallmark,gs_ind_0,TNF-alpha Signaling via NF-kB,18/93,0.003750696612011,0.1762827407645186,2.3167377302004897,12.940865336556511,-,DR 9,0.03892302924911566,True
DR 10+,hallmark,gs_ind_0,Androgen Response,8/25,0.0020982848997303,0.0176255931577348,4.500111317254175,27.75054387349284,+,DR 10,0.02557909211099794,True
DR 10+,hallmark,gs_ind_0,Estrogen Response Early,27/49,1.3402570513672296e-15,5.6290796157423644e-14,12.528658341338456,429.055368245235,+,DR 10,2.969184852259709e-13,True
DR 10+,hallmark,gs_ind_0,Estrogen Response Late,27/64,5.9806104581613696e-12,1.2559281962138879e-10,7.453794428434198,192.62467111154805,+,DR 10,1.0438883708790754e-09,True
DR 10+,hallmark,gs_ind_0,Fatty Acid Metabolism,8/25,0.0020982848997303,0.0176255931577348,4.500111317254175,27.75054387349284,+,DR 10,0.02557909211099794,True
DR 10+,hallmark,gs_ind_0,Xenobiotic Metabolism,14/42,2.6826228607576808e-05,0.000375567200506,4.835379333051127,50.89783372996811,+,DR 10,0.000846679872765164,True
