# confounders | collection gavish (pan-cancer malignant metaprograms (Gavish)) | DRVI run drvi_epi_64 | 04_3 - 04_7 signature interpretation
# CAVEAT: Cell type labels come from CellTypist (Cells_Adult_Breast.pkl, Kumar et al.
# CAVEAT: 2023), a NORMAL adult breast atlas with no malignant class: TNBC cells are assigned to the nearest normal state.
# CAVEAT: This subset therefore mixes normal and malignant epithelium and no CNV inference has been run.
# CAVEAT: Every state reported here is an EPITHELIAL state, not a tumour cell state.
readout,axis,rho_n_genes_by_counts,p_n_genes_by_counts,rho_pct_counts_mt,p_pct_counts_mt,rho_S_score,p_S_score,rho_G2M_score,p_G2M_score
MP38_GLUTATHIONE,detoxification,-0.15815519851701057,0.0,0.09980102584619084,4.566056327114552e-164,-0.16536262774119329,0.0,-0.1725816229642134,0.0
MP39_METAL_RESPONSE,detoxification,0.1853263975815063,0.0,-0.03615635529279705,5.734329058617622e-23,0.1068857584946761,5.0629165555224255e-188,0.03430484352904628,7.802697459481308e-21
MP22_SECRETED_1,secreted,0.2291392441134047,0.0,0.135103161898539,3.679309948776139e-300,-0.17809820903816684,0.0,-0.1907617062546989,0.0
MP23_SECRETED_2,secreted,0.1643528280490495,0.0,0.02075472378008027,1.4856855924225059e-08,-0.12637934677041324,1.286184301734802e-262,-0.26666138191910727,0.0
MP24_CILIA,cilia,-0.03929697523981906,7.70998699692596e-27,-3.144398710837793e-05,0.9931550362823852,-0.11401915771600016,7.759797095327218e-214,-0.09898405946804514,2.06241060291113e-161
MP25_ASTROCYTES,neural,0.1492597594560098,0.0,0.048699970944609795,2.477848955922281e-40,0.035295071764448786,5.817819209582504e-22,-0.05605388030720971,7.031490629368589e-53
MP26_NPC_GLIOMA,neural,0.18976853427832557,0.0,-0.07914785324835263,9.756727375444016e-104,0.16083277653663636,0.0,0.18222505264287883,0.0
MP27_OLIGO_PROGENITOR,neural,-0.01960296683877945,8.850328948286043e-08,0.0063039913084593,0.08543943908119687,0.053055059179909346,1.497682141140531e-47,0.10086485053716171,1.4764800295213711e-167
MP28_OLIGO_NORMAL,neural,0.06169341097587355,1.0830040374412241e-63,-0.01657912539303336,6.077839428310824e-06,-0.00864493571392246,0.018340152992008335,-0.04085827131293171,6.986507060694274e-29
MP29_NPC_OPC,neural,0.12270090305476164,1.4641935974588997e-247,0.2547647354116834,0.0,-0.28662730256495683,0.0,-0.2771115145835996,0.0
MP30_PDAC_CLASSICAL,epithelial_lineage,-0.020976269881749155,1.0424501635163465e-08,0.10723341504455569,3.0604027882903706e-189,-0.2584365154196071,0.0,-0.2999001488968724,0.0
MP31_ALVEOLAR,epithelial_lineage,0.09627655365236054,8.99843933662977e-153,0.00955586745152145,0.009127883572268715,-0.015657825122755813,1.9350867427457455e-05,-0.02543513347797148,3.9016995435519215e-12
MP40_PDAC_RELATED,epithelial_lineage,0.06279852199136673,6.230020754828273e-66,-0.1730257275687431,0.0,0.0742994235812027,1.2994131097662506e-91,0.013089735664600808,0.00035496893358009723
MP32_SKIN_PIGMENTATION,other_lineage,0.09992656924446931,1.7766605511049134e-164,0.009837024418291162,0.007275981324472435,-0.06862058075713764,2.1614966310576865e-78,-0.11571514537033004,3.171215737765952e-220
MP33_RBCS,other_lineage,0.23862323864997215,0.0,-0.014011677255091544,0.0001318097596548692,0.09064928994581815,1.358488019549785e-135,0.036086273388091665,6.938306510524007e-23
MP34_PLATELET_ACTIVATION,other_lineage,0.329341016322761,0.0,-0.0015460148385588388,0.6731666464935298,0.04518081297210582,6.003850930532869e-35,-0.079361361662054,2.739268635591222e-104
MP35_HEMATO_RELATED_1,other_lineage,0.23390653217381882,0.0,0.13167662579634085,4.1767369126188845e-285,-0.08584098614562602,9.586240077473409e-122,-0.20213536591735903,0.0
MP36_IG,other_lineage,0.19661917804126483,0.0,0.13992524582493976,0.0,-0.1681617391092741,0.0,-0.22168183325769697,0.0
MP37_HEMATO_RELATED_2,other_lineage,-0.04847544999414458,5.617766840749947e-40,0.025180971228659497,6.36107186303198e-12,-0.16501530699665787,0.0,-0.19992422326027343,0.0
MP41_UNASSIGNED,unassigned,0.3583082883959746,0.0,0.4464433984310255,0.0,-0.20552818251317834,0.0,-0.2283537483748645,0.0
