# signature_gene_contribution | collection gavish (pan-cancer malignant metaprograms (Gavish)) | DRVI run drvi_epi_64 | 04_3 - 04_7 signature interpretation
# CAVEAT: Cell type labels come from CellTypist (Cells_Adult_Breast.pkl, Kumar et al.
# CAVEAT: 2023), a NORMAL adult breast atlas with no malignant class: TNBC cells are assigned to the nearest normal state.
# CAVEAT: This subset therefore mixes normal and malignant epithelium and no CNV inference has been run.
# CAVEAT: Every state reported here is an EPITHELIAL state, not a tumour cell state.
signature,axis,gene,detection_rate,mean_expression,share_of_mean_signal,share_of_score_variance,spearman_with_score,rank_by_variance_share
MP11_TRANSLATION_INITIATION,proteostasis,PAICS,0.221773,0.184743,0.015136,0.013682,0.229083,30
MP11_TRANSLATION_INITIATION,proteostasis,NBEAL1,0.222821,0.179368,0.014696,0.01314,0.210557,31
MP11_TRANSLATION_INITIATION,proteostasis,OXA1L,0.219247,0.163066,0.01336,0.012819,0.212891,32
MP11_TRANSLATION_INITIATION,proteostasis,EXOSC5,0.193912,0.1477,0.012101,0.011573,0.2264,33
MP11_TRANSLATION_INITIATION,proteostasis,LTA4H,0.169557,0.128274,0.010509,0.011314,0.246432,34
MP11_TRANSLATION_INITIATION,proteostasis,MRPL45,0.154095,0.10796,0.008845,0.009364,0.222331,35
MP11_TRANSLATION_INITIATION,proteostasis,ZNF581,0.135127,0.088186,0.007225,0.008946,0.219974,36
MP11_TRANSLATION_INITIATION,proteostasis,LYRM4,0.15517,0.113357,0.009287,0.008709,0.205839,37
MP11_TRANSLATION_INITIATION,proteostasis,MRPL10,0.130533,0.087731,0.007188,0.007561,0.203508,38
MP11_TRANSLATION_INITIATION,proteostasis,NME1,0.124582,0.092722,0.007597,0.007199,0.19765,39
MP11_TRANSLATION_INITIATION,proteostasis,NOA1,0.106783,0.067986,0.00557,0.007099,0.209841,40
MP11_TRANSLATION_INITIATION,proteostasis,SLC27A5,0.132279,0.097429,0.007982,0.007048,0.16775,41
MP11_TRANSLATION_INITIATION,proteostasis,ZNF277,0.110517,0.072085,0.005906,0.006878,0.191093,42
MP11_TRANSLATION_INITIATION,proteostasis,TOP1MT,0.095754,0.061849,0.005067,0.004581,0.137727,43
MP11_TRANSLATION_INITIATION,proteostasis,HSD17B11,0.045486,0.032661,0.002676,0.000957,0.051346,44
MP11_TRANSLATION_INITIATION,proteostasis,SNHG19,0.018753,0.011998,0.000983,0.000804,0.080679,45
MP12_EMT_1,emt,VIM,0.586035,1.284394,0.085337,0.06405,0.467044,1
MP12_EMT_1,emt,LGALS1,0.555541,1.15629,0.076825,0.062684,0.454976,2
MP12_EMT_1,emt,TAGLN,0.245671,0.447465,0.02973,0.046683,0.412962,3
MP12_EMT_1,emt,MGP,0.861609,2.923956,0.194271,0.045621,0.309101,4
MP12_EMT_1,emt,TIMP1,0.487688,0.785651,0.0522,0.040628,0.301622,5
MP12_EMT_1,emt,FN1,0.207413,0.337602,0.022431,0.038588,0.347623,6
MP12_EMT_1,emt,SPARC,0.189909,0.279248,0.018554,0.036582,0.395404,7
MP12_EMT_1,emt,SERPING1,0.281834,0.458719,0.030478,0.036036,0.27732,8
MP12_EMT_1,emt,MYL9,0.249191,0.33953,0.022559,0.03493,0.375491,9
MP12_EMT_1,emt,CALD1,0.377628,0.49251,0.032723,0.034129,0.36712,10
MP12_EMT_1,emt,C1S,0.218616,0.334393,0.022217,0.030873,0.358879,11
MP12_EMT_1,emt,TPM1,0.613372,1.025662,0.068146,0.030658,0.257839,12
MP12_EMT_1,emt,TPM2,0.220376,0.291594,0.019374,0.030194,0.366585,13
MP12_EMT_1,emt,COL1A2,0.090998,0.145301,0.009654,0.026031,0.295912,14
MP12_EMT_1,emt,COL1A1,0.099233,0.153687,0.010211,0.025971,0.2435,15
MP12_EMT_1,emt,IGFBP7,0.150911,0.211594,0.014059,0.024379,0.308385,16
MP12_EMT_1,emt,ACTA2,0.132118,0.182277,0.012111,0.023745,0.262164,17
MP12_EMT_1,emt,NNMT,0.252697,0.307621,0.020439,0.021857,0.287493,18
MP12_EMT_1,emt,COL3A1,0.075268,0.120216,0.007987,0.020841,0.263807,19
