# convergence | DRVI run drvi_epi_64 | 04_3 signature interpretation
# CAVEAT: Cell type labels come from CellTypist (Cells_Adult_Breast.pkl, Kumar et al.
# CAVEAT: 2023), a NORMAL adult breast atlas with no malignant class: TNBC cells are assigned to the nearest normal state.
# CAVEAT: This subset therefore mixes normal and malignant epithelium and no CNV inference has been run.
# CAVEAT: Every state reported here is an EPITHELIAL state, not a tumour cell state.
dim_direction,dimension,direction,A_best_signature,A_rho,A_best_any_readout,A_rho_any,A_auroc_target_this_side,A_standardised_mean_difference,B_best_signature,B_neglog10_fdr,B_fdr,A_significant,B_significant,same_signature,same_family,A_family,B_family,verdict,confounder_flags
DR 20+,DR 20,+,LIM_STEM,0.1654,LIM_STEM,0.1654,0.4838146414600381,-0.14619969,HALLMARK_IFNG,0.8325,0.14706184154045604,False,False,False,False,stemness,immune,neither,none
DR 20-,DR 20,-,FMASC,0.1221,FMASC,0.1221,0.5161853585399618,0.14619969,FMASC,0.2197,0.6029759632855554,False,False,False,False,stemness,stemness,neither,none
DR 21+,DR 21,+,ISDS,0.0971,ISDS,0.0971,0.3871931029181867,-0.2747563,EMP,0.0618,0.8673612184014639,False,False,False,False,immune,stemness,neither,none
DR 21-,DR 21,-,ESC_ASSOU,0.2905,ESC_ASSOU,0.2905,0.6128068970818132,0.2747563,ESC_ASSOU,1.7457,0.017959738131969185,True,True,True,True,stemness,stemness,convergent,"depth,cell_cycle"
DR 22+,DR 22,+,LIM_STEM,0.0617,LIM_STEM,0.0617,0.534006233546618,0.10600455,LIM_STEM,2.5186,0.003029702602661417,False,True,False,False,stemness,stemness,factor_only_candidate_patient_or_technical,none
DR 22-,DR 22,-,IMMUNOGENIC_CONSENSUS,-0.0055,IMMUNOGENIC_CONSENSUS,-0.0055,0.465993766453382,-0.10600455,ESC_WONG,0.2541,0.5570574669415547,False,False,False,False,immune,stemness,neither,immune_low_is_absence_of_signal
DR 23+,DR 23,+,FMASC,0.067,FMASC,0.067,0.616497291444339,0.3336248,ESC_ASSOU,1.4792,0.03317416496945389,False,True,False,False,stemness,stemness,factor_only_candidate_patient_or_technical,"depth,cell_cycle"
DR 23-,DR 23,-,HALLMARK_IFNG,0.4142,HALLMARK_IFNG,0.4142,0.38350270855566104,-0.3336248,HALLMARK_IFNG,38.8399,1.4457726338736344e-39,True,True,True,True,immune,immune,convergent,none
DR 24+,DR 24,+,ESC_WONG,0.0861,ESC_WONG,0.0861,0.5099719149142669,-0.00080972473,ESC_ASSOU,3.0553,0.0008804404761646757,False,True,False,False,stemness,stemness,factor_only_candidate_patient_or_technical,"depth,cell_cycle"
DR 24-,DR 24,-,LIM_STEM,0.1199,LIM_STEM,0.1199,0.49002808508573314,0.00080972473,LIM_STEM,0.6941,0.20225534149229968,False,False,False,False,stemness,stemness,neither,none
DR 25+,DR 25,+,ESC_WONG,0.0707,ESC_WONG,0.0707,0.6155118559792359,0.323593,ESC_WONG,1.6208,0.0239441817286338,False,True,False,False,stemness,stemness,factor_only_candidate_patient_or_technical,"depth,cell_cycle"
DR 25-,DR 25,-,IMMUNOGENIC_CONSENSUS,0.1885,IMMUNOGENIC_CONSENSUS,0.1885,0.38448814402076414,-0.323593,FMASC,0.4579,0.3484175319018589,False,False,False,False,immune,stemness,neither,none
DR 26+,DR 26,+,HALLMARK_IFNG,0.0997,HALLMARK_IFNG,0.0997,0.391431682940935,-0.5263654,HALLMARK_IFNG,0.6441,0.22693422563550586,False,False,False,False,immune,immune,neither,none
DR 26-,DR 26,-,BENPORATH_ES1,0.1532,BENPORATH_ES1,0.1532,0.608568317059065,0.5263654,ESC_ASSOU,11.5083,3.1024157748720875e-12,False,True,False,False,stemness,stemness,factor_only_candidate_patient_or_technical,"depth,cell_cycle"
DR 27+,DR 27,+,LIM_STEM,0.0268,LIM_STEM,0.0268,0.7289182177890957,0.677579,ESC_ASSOU,1.0281,0.09373461501481734,False,False,False,False,stemness,stemness,neither,none
DR 27-,DR 27,-,IMMUNOGENIC_CONSENSUS,0.6281,IMMUNOGENIC_CONSENSUS,0.6281,0.2710817822109043,-0.677579,HALLMARK_IFNG,20.7668,1.7108029875993287e-21,True,True,False,True,immune,immune,convergent,none
DR 28+,DR 28,+,FMASC,0.2142,FMASC,0.2142,0.5299548407680399,0.094408885,KEGG_APM,-0.0,1.0,True,False,False,False,stemness,immune,cell_only_state_not_on_one_axis,none
DR 28-,DR 28,-,HALLMARK_IFNA,0.1101,HALLMARK_IFNA,0.1101,0.4700451592319601,-0.094408885,HALLMARK_IFNA,3.3097,0.0004901172634719431,False,True,False,False,immune,immune,factor_only_candidate_patient_or_technical,none
DR 29+,DR 29,+,LIM_STEM,0.2322,LIM_STEM,0.2322,0.532637697685552,0.18285091,LIM_STEM,1.6927,0.020290838770092048,True,True,True,True,stemness,stemness,convergent,none
DR 29-,DR 29,-,FMASC,0.0902,FMASC,0.0902,0.467362302314448,-0.18285091,HALLMARK_IFNA,0.455,0.350751873952568,False,False,False,False,stemness,immune,neither,none
DR 30+,DR 30,+,KEGG_APM,0.1153,KEGG_APM,0.1153,0.5416754296907687,0.12023611,ESC_ASSOU,2.3396,0.004575093773298476,False,True,False,False,immune,stemness,factor_only_candidate_patient_or_technical,"depth,cell_cycle"
DR 30-,DR 30,-,HALLMARK_IFNA,0.0349,HALLMARK_IFNA,0.0349,0.45832457030923135,-0.12023611,HALLMARK_IFNA,0.0144,0.9673864499689512,False,False,False,False,immune,immune,neither,none
DR 31+,DR 31,+,ESC_WONG,0.048,ESC_WONG,0.048,0.4562348453413558,-0.1263349,LIM_STEM,-0.0,1.0,False,False,False,False,stemness,stemness,neither,"depth,cell_cycle"
