# convergence | collection gavish_tnbc (pan-cancer malignant metaprograms (Gavish, TNBC-relevant)) | DRVI run drvi_epi_64 | 04_3 - 04_7 signature interpretation
# CAVEAT: Cell type labels come from CellTypist (Cells_Adult_Breast.pkl, Kumar et al.
# CAVEAT: 2023), a NORMAL adult breast atlas with no malignant class: TNBC cells are assigned to the nearest normal state.
# CAVEAT: This subset therefore mixes normal and malignant epithelium and no CNV inference has been run.
# CAVEAT: Every state reported here is an EPITHELIAL state, not a tumour cell state.
dim_direction,dimension,direction,A_best_signature,A_rho,A_best_any_readout,A_rho_any,B_best_signature,B_neglog10_fdr,B_fdr,A_significant,B_significant,same_signature,same_family,A_family,B_family,verdict,dimension_vanished,confounder_flags
DR 18-,DR 18,-,MP17_INTERFERON_MHC_II_1,0.1027,MP17_INTERFERON_MHC_II_1,0.1027,MP41_UNASSIGNED,0.0359,0.9206615375019707,False,False,False,False,immune,unassigned,neither,False,none
DR 19+,DR 19,+,MP5_STRESS,0.703,MP5_STRESS,0.703,MP5_STRESS,35.1821,6.575064234750006e-36,True,True,True,True,stress,stress,convergent,False,cell_cycle
DR 19-,DR 19,-,MP21_RESPIRATION,0.1103,MP21_RESPIRATION,0.1103,MP2_CELL_CYCLE_G1_S,2.3814,0.004155277190204325,False,True,False,False,metabolic,cell_cycle,factor_only_candidate_patient_or_technical,False,cell_cycle
DR 20+,DR 20,+,MP13_EMT_2,0.2185,MP13_EMT_2,0.2185,MP13_EMT_2,3.0982,0.0007976272817384813,True,True,True,True,emt,emt,convergent,False,mesenchymal_may_be_ambient_or_doublet
DR 20-,DR 20,-,MP23_SECRETED_2,0.1498,MP23_SECRETED_2,0.1498,MP23_SECRETED_2,5.3298,4.679505908852537e-06,False,True,False,False,secreted,secreted,factor_only_candidate_patient_or_technical,False,none
DR 21+,DR 21,+,MP17_INTERFERON_MHC_II_1,0.0951,MP17_INTERFERON_MHC_II_1,0.0951,MP36_IG,0.0727,0.8458629448184253,False,False,False,False,immune,other_lineage,neither,False,none
DR 21-,DR 21,-,MP3_CELL_CYCLE_HMG_RICH,0.2081,MP3_CELL_CYCLE_HMG_RICH,0.2081,MP14_EMT_3,2.9832,0.0010394413751488006,True,True,False,False,cell_cycle,emt,both_routes_different_family,False,"depth,cell_cycle"
DR 22+,DR 22,+,MP25_ASTROCYTES,0.0984,MP25_ASTROCYTES,0.0984,MP25_ASTROCYTES,1.5791,0.02635724417972899,False,True,False,False,neural,neural,factor_only_candidate_patient_or_technical,False,lineage_control_claim_bounds_the_rest
DR 22-,DR 22,-,MP38_GLUTATHIONE,0.0325,MP38_GLUTATHIONE,0.0325,MP14_EMT_3,4.3505,4.461696245809641e-05,False,True,False,False,detoxification,emt,factor_only_candidate_patient_or_technical,False,mesenchymal_may_be_ambient_or_doublet
DR 23+,DR 23,+,MP39_METAL_RESPONSE,0.0687,MP39_METAL_RESPONSE,0.0687,MP14_EMT_3,2.9832,0.0010394413751488006,False,True,False,False,detoxification,emt,factor_only_candidate_patient_or_technical,False,mesenchymal_may_be_ambient_or_doublet
