# dim_geneset_signed_significance | collection gavish_tnbc (pan-cancer malignant metaprograms (Gavish, TNBC-relevant)) | DRVI run drvi_epi_64 | 04_3 - 04_7 signature interpretation
# CAVEAT: Cell type labels come from CellTypist (Cells_Adult_Breast.pkl, Kumar et al.
# CAVEAT: 2023), a NORMAL adult breast atlas with no malignant class: TNBC cells are assigned to the nearest normal state.
# CAVEAT: This subset therefore mixes normal and malignant epithelium and no CNV inference has been run.
# CAVEAT: Every state reported here is an EPITHELIAL state, not a tumour cell state.
,MP2_CELL_CYCLE_G1_S,MP3_CELL_CYCLE_HMG_RICH,MP4_CHROMATIN,MP5_STRESS,MP6_HYPOXIA,MP7_STRESS_IN_VITRO,MP8_PROTEASOMAL_DEGRADATION,MP9_UNFOLDED_PROTEIN_RESPONSE,MP10_PROTEIN_MATURATION,MP11_TRANSLATION_INITIATION,MP12_EMT_1,MP13_EMT_2,MP14_EMT_3,MP15_EMT_4,MP17_INTERFERON_MHC_II_1,MP18_INTERFERON_MHC_II_2,MP19_EPITHELIAL_SENESCENCE,MP20_MYC,MP21_RESPIRATION,MP38_GLUTATHIONE,MP39_METAL_RESPONSE,MP22_SECRETED_1,MP23_SECRETED_2,MP25_ASTROCYTES,MP33_RBCS,MP36_IG,MP41_UNASSIGNED
DR 52,-0.0,-0.2997,0.0,-0.1703,0.3513,-0.0656,-0.6543,0.0,-0.7661,-0.1429,-0.4976,0.056,-5.1287,-1.2986,-3.4804,-6.4204,1.7917,0.5309,0.0,1.473,0.8946,-0.4543,-1.1038,1.5791,-0.0656,-0.0,0.0
DR 28,-0.9726,-2.1467,0.8144,13.2056,-1.2986,0.5732,-1.4307,-0.4893,-0.3979,-0.1429,-0.4976,-3.0982,-13.6089,0.939,-2.3167,-1.8507,-4.934,-0.5309,-0.4893,0.2744,-1.6312,1.5206,-0.7928,-0.5309,-0.0656,-0.0,0.7445
DR 12,-0.9726,-1.3519,0.0,-1.1865,-0.9134,-0.9835,-2.6506,0.0,-0.7661,-1.4307,6.5089,0.5688,-4.3505,1.2986,1.8507,1.0721,-1.7917,-1.187,0.0,-0.2744,-1.2377,-0.0633,-0.5502,1.1865,0.0656,-0.0,0.2997
DR 30,0.6469,0.2997,0.0,15.7221,2.8752,3.6965,0.1429,0.0,-0.7661,0.6543,-0.0,0.5688,1.0464,-0.6471,-0.0359,0.1398,-0.4331,0.5309,0.0,-0.2744,2.6361,0.7344,-4.621,1.1865,0.0656,0.0727,0.0
DR 16,1.3627,2.1467,0.2139,-2.5258,-1.2986,0.2744,0.1429,0.4893,-0.0,-1.4307,1.3321,0.8369,5.9697,-0.6471,4.8328,2.8752,0.9912,-1.187,0.4893,-0.0656,2.1098,-0.0,0.5502,-1.5791,0.2744,0.0,0.2997
DR 13,-0.0,0.0359,0.0,0.056,-1.2986,0.2744,0.6543,0.0,-3.5905,0.1429,-1.7125,-5.1679,-13.6089,-2.181,-1.0721,-8.1773,-4.934,0.5309,-0.4893,-0.5732,-3.2137,-1.0971,-3.9528,-1.1865,0.0656,0.2427,0.7445
DR 18,-0.0,0.2997,0.0,-0.0,0.9134,0.5732,0.6543,0.0,3.5905,0.6543,0.7338,-0.0,1.4269,0.6471,0.2979,1.8507,0.6821,0.5309,0.0,0.9835,1.2377,-0.0,0.7928,1.5791,-0.0,0.0,-0.0359
DR 61,0.1728,0.7445,0.0,-0.056,-0.9134,-0.0,0.6543,-0.4893,-0.3979,-0.6543,0.4976,0.5688,3.6277,-0.6471,-4.1207,-3.4804,1.7917,-0.5309,0.4893,-0.9835,2.6361,0.0,-0.5502,1.1865,-0.2744,0.0,0.0
DR 33,0.0427,0.7445,0.0,0.3513,0.1488,1.473,0.1429,0.4893,-3.5905,0.6543,-0.4976,0.056,5.1287,-0.4015,0.2979,-1.8507,0.6821,0.1092,0.4893,-0.5732,0.6,0.7344,-3.9528,-0.5309,0.2744,-0.0,-0.0359
DR 55,0.0,0.0359,0.0,-0.1703,0.1488,-0.5732,-0.6543,0.0,0.1215,-0.6543,-1.0119,-0.8369,-3.6277,0.939,-2.8752,-4.8328,2.2803,1.187,0.4893,0.9835,-1.2377,-0.7344,-1.4307,0.7986,0.0656,-0.0,0.0
